번호,지역,행정동,정류소ID,정류소 명칭,안내기유형,세부유형,,,,,,,,
187,원미,심곡동,11222,KT부천지사,LCD,쉘터(독립형),,,,,,,,
188,원미,중동,11223,부천세무서,LED,쉘터(거치형),,,,,,,,
189,원미,도당동,11224,농협신흥지점,LED,쉘터(거치형),,,,,,,,
190,원미,약대동,11225,손가면옥,LED,쉘터(독립형),,,,,,,,
191,원미,약대동 221-3,11226,약대초등학교입구,LCD,쉘터(거치형),,,,,,,,
192,원미,중동,11228,신중동역5번출구.중흥중학교,LCD,쉘터(거치형),,,,,,,,
193,원미,중동,11229,신중동역6번출구.중흥중학교,LCD,쉘터(거치형),,,,,,,,
194,원미,심곡동,11230,심곡초등학교,LED,쉘터(거치형),,,,,,,,
195,원미,심곡동,11231,KT부천지사,LCD,독립형,,,,,,,,
196,원미,중동,11232,샛별어린이공원,LED,표지판일체형,,,,,,,,
197,원미,도당동,11233,약대오거리.동부하이텍,LED,쉘터(거치형),,,,,,,,
198,원미,심곡동,11234,KT부천지사사거리,LED,쉘터(거치형),,,,,,,,
199,원미,심곡동,11236,KT부천지사사거리,LCD,쉘터(독립형),,,,,,,,
200,원미,중동,11237,샛별어린이공원,LED,표지판일체형,,,,,,,,
201,원미,중동,11238,신중동역3번출구.원미경찰서.롯데백화점,LED,쉘터(거치형),,,,,,,,
202,원미,중동,11240,신중동역2번출구.원미경찰서.롯데백화점,LCD+LED,쉘터(거치형),,,,,,,,
203,원미,심곡동,11241,부천대학교,LCD,쉘터(독립형),,,,,,,,
204,원미,심곡동,11242,부천대학교,LCD,쉘터(독립형),,,,,,,,
205,원미,중동,11243,기업은행.위브더스테이트5단지,LCD,쉘터(거치형),,,,,,,,
206,원미,중동,11244,부천소방서,LED,쉘터(거치형),,,,,,,,
207,원미,심곡동,11245,심곡초등학교,LED,쉘터(거치형),,,,,,,,
208,원미,중동,11246,부천소방서,LED,쉘터(거치형),,,,,,,,
209,원미,심곡동,11247,부천소방서.부천대학사거리,LCD,쉘터(독립형),,,,,,,,
210,원미,심곡동,11248,부천소방서.부천대학사거리,LCD,쉘터(독립형),,,,,,,,
211,원미,심곡동,11249,부천대입구,LCD,쉘터(독립형),,,,,,,,
212,원미,중동,11250,위브더스테이트5단지,LCD,쉘터(독립형),,,,,,,,
213,원미,중동,11251,부흥중학교.심원고교,LED,쉘터(거치형),,,,,,,,
214,원미,중동,11252,부흥중학교,LED,표지판일체형,,,,,,,,
215,원미,중동,11253,신중동역7번출구.심원고교.삼환아파트.중3주민지원센터,LCD,쉘터(독립형),,,,,,,,
216,원미,심곡동,11254,부천대후문,LED,표지판일체형,,,,,,,,
217,원미,중동,11255,신중동역1번출구.꿈마을.삼환아파트,LCD,쉘터(독립형),,,,,,,,
218,원미,도당동,11256,KEB하나은행도당동지점,LED,쉘터(독립형),,,,,,,,
219,원미,중동,11257,꿈마을.연화마을,LED,쉘터(거치형),,,,,,,,
220,원미,중동,11258,꿈마을.연화마을,LED,쉘터(거치형),,,,,,,,
221,원미,도당동,11260,강남시장,LED,쉘터(거치형),,,,,,,,
222,원미,도당동,11261,강남시장,LED,쉘터(거치형),,,,,,,,
223,원미,중동,11262,심원고등학교,LED,쉘터(거치형),,,,,,,,
224,원미,도당동,11263,현대자동차학원,LED,표지판일체형,,,,,,,,
225,원미,도당동,11264,씨에스아이엔테크,LED,쉘터(거치형),,,,,,,,
226,원미,도당동,11265,부천대우테크노파크,LED,쉘터(거치형),,,,,,,,
227,원미,도당동,11266,현대자동차학원,LED,표지판일체형,,,,,,,,
228,원미,중동,11267,심원고등학교,LED,표지판일체형,,,,,,,,
229,원미,도당동,11268,씨에스아이엔테크,LED,쉘터(거치형),,,,,,,,
230,원미,도당동,11269,부천대우테크노파크,LED,쉘터(거치형),,,,,,,,
231,원미,심곡동,11270,부천대후문,LED,쉘터(거치형),,,,,,,,
232,원미,중동,11271,꿈마을,LED,쉘터(거치형),,,,,,,,
233,원미,중동,11272,꿈마을,LCD,쉘터(독립형),,,,,,,,
234,원미,중동,11273,심원초등학교,LED,쉘터(거치형),,,,,,,,
235,원미,중동,11274,심곡천종점.부천보건소,LED,쉘터(거치형),,,,,,,,
236,원미,중동,11275,부천보건소.건영아파트,LED,쉘터(거치형),,,,,,,,
237,원미,중동,11276,부천보건소.건영아파트,LED,쉘터(거치형),,,,,,,,
238,원미,중동,11277,심원초등학교,LED,쉘터(거치형),,,,,,,,
239,원미,심곡동,11278,부천역.국민은행,LCD+LED,쉘터(거치형),,,,,,,,
240,원미,중동,11279,원미고등학교,LED,쉘터(거치형),,,,,,,,
241,원미,중동,11280,원미고등학교,LCD,쉘터(거치형),,,,,,,,
242,원미,심곡동,11281,세일병원입구,LED,표지판일체형,,,,,,,,
243,원미,심곡동,11282,심곡천종점.부천보건소,LED,독립형,,,,,,,,
244,원미,춘의동,11284,부천고용복지플러스센터,LCD,독립형,,,,,,,,
245,원미,심곡동,11285,세일병원입구,LED,표지판일체형,,,,,,,,
246,원미,도당동,11286,도당사거리,LED,쉘터(거치형),,,,,,,,
247,원미,심곡동,11287,부천역북부.농협,LED,쉘터(거치형),,,,,,,,
248,원미,심곡동,11289,대성병원.심곡천사거리,LCD,독립형,,,,,,,,
249,원미,심곡동,11290,노마즈하우스.우리은행,LCD,쉘터(거치형),,,,,,,,
250,원미,심곡동,11291,대성병원.심곡천사거리,LED,쉘터(거치형),,,,,,,,
251,원미,심곡동,11292,대성병원,LCD,쉘터(독립형),,,,,,,,
252,원미,심곡동,11293,대성병원,LED,쉘터(거치형),,,,,,,,
253,원미,심곡동,11294,부천역북부,LED,쉘터(거치형),,,,,,,,
