학교명,학교급구분,설립형태,소재지지번주소,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
부천일신초등학교,초등학교,공립,경기도 부천시 범박동 153-8,경기도 부천시 범안로96번길 26,경기도교육청,경기도부천교육지원청,37.47357381,126.8070034
소일초등학교,초등학교,공립,경기도 부천시 소사본동 401-1,경기도 부천시 소사로102번길 78,경기도교육청,경기도부천교육지원청,37.46920297,126.8025316
부천덕산초등학교대장분교장,초등학교,공립,경기도 부천시 대장동 196-1,경기도 부천시 대장로 92,경기도교육청,경기도부천교육지원청,37.54221655,126.7911549
심곡초등학교,초등학교,공립,경기도 부천시 심곡동 300,경기도 부천시 장말로 309,경기도교육청,경기도부천교육지원청,37.49194919,126.7764042
중동초등학교,초등학교,공립,경기도 부천시 중동 1290,경기도 부천시 심중로75번길 37,경기도교육청,경기도부천교육지원청,37.4900314,126.7694207
심원초등학교,초등학교,공립,경기도 부천시 중동 1097,경기도 부천시 옥산로 66,경기도교육청,경기도부천교육지원청,37.49943267,126.781208
석천초등학교,초등학교,공립,경기도 부천시 상동 525-4,경기도 부천시 계남로 29,경기도교육청,경기도부천교육지원청,37.51052059,126.7523846
상일초등학교,초등학교,공립,경기도 부천시 상동 550-5,경기도 부천시 조마루로 57,경기도교육청,경기도부천교육지원청,37.50172062,126.7505151
경기예술고등학교,고등학교,공립,경기도 부천시 중동 1031,경기도 부천시 석천로209번길 37,경기도교육청,경기도부천교육지원청,37.50608221,126.7618196
부천동중학교,중학교,공립,경기도 부천시 괴안동 171-15,경기도 부천시 경인로484번길 36,경기도교육청,경기도부천교육지원청,37.48075804,126.8101605
부천동여자중학교,중학교,공립,경기도 부천시 괴안동 171-15,경기도 부천시 경인로484번길 36,경기도교육청,경기도부천교육지원청,37.48075804,126.8101605
부명중학교,중학교,공립,경기도 부천시 중동 1176,경기도 부천시 원미구 조마루로 182,경기도교육청,경기도부천교육지원청,37.49794858,126.764151
상도중학교,중학교,공립,경기도 부천시 상동 418-1,경기도 부천시 장말로 159,경기도교육청,경기도부천교육지원청,37.49438248,126.7603397
석천중학교,중학교,공립,경기도 부천시 상동 526-7,경기도 부천시 계남로 71,경기도교육청,경기도부천교육지원청,37.50988333,126.7570979
상일중학교,중학교,공립,경기도 부천시 상동 550-4,경기도 부천시 조마루로 69,경기도교육청,경기도부천교육지원청,37.50151985,126.7515467
부인중학교,중학교,공립,경기도 부천시 상동 398,경기도 부천시 상일로 62,경기도교육청,경기도부천교육지원청,37.49056825,126.7486696
역곡중학교,중학교,공립,경기도 부천시 역곡동 101,경기도 부천시 역곡로58번길 27,경기도교육청,경기도부천교육지원청,37.49134145,126.8104251
원미중학교,중학교,공립,경기도 부천시 원미동 13,경기도 부천시 원미로182번길 15,경기도교육청,경기도부천교육지원청,37.49925136,126.7944913
부천중학교,중학교,공립,경기도 부천시 중동 777,경기도 부천시 심중로75번길 64,경기도교육청,경기도부천교육지원청,37.49042454,126.7688626
중흥중학교,중학교,공립,경기도 부천시 중동 1053-1,경기도 부천시 신흥로 245,경기도교육청,경기도부천교육지원청,37.50648414,126.7743179
부천부흥중학교,중학교,공립,경기도 부천시 중동 1074,경기도 부천시 계남로 268,경기도교육청,경기도부천교육지원청,37.50542637,126.7782088
계남중학교,중학교,공립,경기도 부천시 중동 1184-5,경기도 부천시 조마루로 274,경기도교육청,경기도부천교육지원청,37.49742106,126.7735798
부천부곡중학교,중학교,공립,경기도 부천시 중동 1213,경기도 부천시 부흥로 284,경기도교육청,경기도부천교육지원청,37.49463268,126.7745231
수주중학교,중학교,공립,경기도 부천시 고강동 277-2,경기도 부천시 역곡로 524,경기도교육청,경기도부천교육지원청,37.53131738,126.8168254
내동중학교,중학교,공립,경기도 부천시 내동 27,경기도 부천시 삼작로108번길 53,경기도교육청,경기도부천교육지원청,37.51829974,126.7741469
덕산중학교,중학교,공립,경기도 부천시 오정동 117-2,경기도 부천시 성오로 203,경기도교육청,경기도부천교육지원청,37.5289185,126.7936235
성곡중학교,중학교,공립,경기도 부천시 작동 48,경기도 부천시 삼작로496번길 10-25,경기도교육청,경기도부천교육지원청,37.51781904,126.81593
성주중학교,중학교,공립,경기도 부천시 송내동 418,경기도 부천시 성주로 24,경기도교육청,경기도부천교육지원청,37.48028272,126.7599132
부일중학교,중학교,공립,경기도 부천시 소사본동 406,경기도 부천시 소사로 86,경기도교육청,경기도부천교육지원청,37.46622103,126.7997435
부천남중학교,중학교,공립,경기도 부천시 송내동 628,경기도 부천시 성주로 148,경기도교육청,경기도부천교육지원청,37.47907813,126.7720382
부천여자고등학교,고등학교,공립,경기도 부천시 상동 314,경기도 부천시 석천로16번길 37,경기도교육청,경기도부천교육지원청,37.48930256,126.7623694
부명고등학교,고등학교,공립,경기도 부천시 중동 1173,경기도 부천시 석천로 127,경기도교육청,경기도부천교육지원청,37.4990836,126.7611532
상동고등학교,고등학교,공립,경기도 부천시 상동 620-1,경기도 부천시 원미구 상이로 22,경기도교육청,경기도부천교육지원청,37.49063537,126.7450605
도당고등학교,고등학교,공립,경기도 부천시 도당동 64,경기도 부천시 삼작로256번길 53-3,경기도교육청,경기도부천교육지원청,37.51886838,126.790595
중원고등학교,고등학교,공립,경기도 부천시 중동 1025,경기도 부천시 도약로 111,경기도교육청,경기도부천교육지원청,37.51156489,126.7622182
심원고등학교,고등학교,공립,경기도 부천시 중동 1074-1,경기도 부천시 계남로 284,경기도교육청,경기도부천교육지원청,37.50474781,126.7792676
중흥고등학교,고등학교,공립,경기도 부천시 중동 1040-4,경기도 부천시 계남로 171,경기도교육청,경기도부천교육지원청,37.50860327,126.7686288
원미고등학교,고등학교,공립,경기도 부천시 중동 1098,경기도 부천시 옥산로 48,경기도교육청,경기도부천교육지원청,37.4982071,126.7827357
계남고등학교,고등학교,공립,경기도 부천시 중동 1185-1,경기도 부천시 부흥로 261,경기도교육청,경기도부천교육지원청,37.49621596,126.7710913
수주고등학교,고등학교,공립,경기도 부천시 고강동 275-11,경기도 부천시 오정구 역곡로 531,경기도교육청,경기도부천교육지원청,37.531883,126.8148848
덕산고등학교,고등학교,공립,경기도 부천시 오정동 111-4,경기도 부천시 오정구 오정로266번길 69,경기도교육청,경기도부천교육지원청,37.53079674,126.7896898
범박고등학교,고등학교,공립,경기도 부천시 범박동 113-70,경기도 부천시 범박로 27-1,경기도교육청,경기도부천교육지원청,37.46774288,126.8117728
소사고등학교,고등학교,공립,경기도 부천시 소사본동 401-8,경기도 부천시 소사로78번길 22,경기도교육청,경기도부천교육지원청,37.46492603,126.8002419
소명여자고등학교,고등학교,사립,경기도 부천시 소사동 2-7,경기도 부천시 원미구 부일로 571번길,경기도교육청,경기도부천교육지원청,37.48802742,126.7911243
시온고등학교,고등학교,사립,경기도 부천시 범박동 152-8,경기도 부천시 은성로 172-20,경기도교육청,경기도부천교육지원청,37.4714986,126.8051113
정명고등학교,고등학교,사립,경기도 부천시 심곡본동 768-9,경기도 부천시 심곡로 100,경기도교육청,경기도부천교육지원청,37.47501926,126.7730502
옥길중학교,중학교,공립,경기도 부천시 옥길동 740-1,경기도 부천시 양지로 234-41(옥길동),경기도교육청,경기도부천교육지원청,37.46386441,126.8269608
부천공업고등학교,고등학교,공립,경기도 부천시 송내동 455,경기도 부천시 경인로120번길,경기도교육청,경기도부천교육지원청,37.48203763,126.7667049
부천정보산업고등학교,고등학교,공립,경기도 부천시 상동 391,경기도 부천시 신상로 94,경기도교육청,경기도부천교육지원청,37.49692428,126.7489114
정명정보고등학교,고등학교,사립,경기도 부천시 심곡본동 768-9,경기도 부천시 소사구 심곡로 100,경기도교육청,경기도부천교육지원청,37.47501926,126.7730502
옥길버들초등학교,초등학교,공립,경기도 부천시 옥길동 740-2,경기도 부천시 양지로 234-5,경기도교육청,경기도부천교육지원청,37.46427346,126.8259847
소사중학교,중학교,공립,경기도 부천시 소사본동 401,경기도 부천시 소사로102번길 80,경기도교육청,경기도부천교육지원청,37.47002089,126.8021395
경기국제통상고등학교,고등학교,공립,경기도 부천시 중동 1171-1,경기도 부천시 석천로 141,경기도교육청,경기도부천교육지원청,37.50037499,126.7615477
옥길산들초등학교,초등학교,공립,경기도 부천시 옥길동 770,경기도 부천시 옥길로 31,경기도교육청,경기도부천교육지원청,37.46250622,126.8164682
중원중학교,중학교,공립,경기도 부천시 중동 1024-2,경기도 부천시 원미구 도약로 119,경기도교육청,경기도부천교육지원청,37.51193851,126.7628708
상동중학교,중학교,공립,경기도 부천시 상동 572-3,경기도 부천시 부흥로 19,경기도교육청,경기도부천교육지원청,37.4980444,126.7450538
부천여자중학교,중학교,공립,경기도 부천시 송내동 414,경기도 부천시 소사구 성주로23번길 22,경기도교육청,경기도부천교육지원청,37.48137689,126.7604793
심원중학교,중학교,공립,경기도 부천시 중동 1097-1,경기도 부천시 원미구 계남로 352,경기도교육청,경기도부천교육지원청,37.4998659,126.7827877
부천여월중학교,중학교,공립,경기도 부천시 여월동 68,경기도 부천시 성곡로57번길 25,경기도교육청,경기도부천교육지원청,37.51725851,126.7972187
까치울중학교,중학교,공립,경기도 부천시 여월동 303,경기도 부천시 소사로 647,경기도교육청,경기도부천교육지원청,37.51532687,126.8013104
부천일신중학교,중학교,공립,경기도 부천시 범박동 153-7,경기도 부천시 범안로96번길 44,경기도교육청,경기도부천교육지원청,37.47317133,126.8060005
소명여자중학교,중학교,사립,경기도 부천시 소사동 2-7,경기도 부천시 부일로571번길 84,경기도교육청,경기도부천교육지원청,37.48782121,126.7913072
도당중학교,중학교,공립,경기도 부천시 도당동 36,경기도 부천시 부천로366번길 19,경기도교육청,경기도부천교육지원청,37.51689848,126.7867776
동산초등학교,초등학교,공립,경기도 부천시 오정동 727,경기도 부천시 오정로251번길 50,경기도교육청,경기도부천교육지원청,37.53145475,126.7852129
소안초등학교,초등학교,공립,경기도 부천시 소사본동 409-9,경기도 부천시 소사동로72번길 29,경기도교육청,경기도부천교육지원청,37.47239491,126.8042548
상도초등학교,초등학교,공립,경기도 부천시 상동 418,경기도 부천시 장말로 149,경기도교육청,경기도부천교육지원청,37.49447454,126.7592076
상일고등학교,고등학교,공립,경기도 부천시 상동 572-2,경기도 부천시 부흥로 13,경기도교육청,경기도부천교육지원청,37.49816175,126.7436724
상원고등학교,고등학교,공립,경기도 부천시 상동 570-8,경기도 부천시 상동로 10,경기도교육청,경기도부천교육지원청,37.49831656,126.7524158
부천고등학교,고등학교,공립,경기도 부천시 송내동 437,경기도 부천시 경인로92번길 70,경기도교육청,경기도부천교육지원청,37.47991699,126.7663071
부천북고등학교,고등학교,공립,경기도 부천시 도당동 54,경기도 부천시 삼작로256번길 40,경기도교육청,경기도부천교육지원청,37.51848959,126.7890596
역곡고등학교,고등학교,공립,경기도 부천시 역곡동 200-10,경기도 부천시 안곡로 322,경기도교육청,경기도부천교육지원청,37.49173314,126.8095844
원종고등학교,고등학교,공립,경기도 부천시 원종동 128-1,경기도 부천시 소사로807번길 68,경기도교육청,경기도부천교육지원청,37.52849973,126.8004972
송내고등학교,고등학교,공립,경기도 부천시 송내동 695,경기도 부천시 서촌로20번길 13,경기도교육청,경기도부천교육지원청,37.48674346,126.7453598
