시군명,구/읍면동명,업종구분명,시설명,교습과정명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,중동,학교교과교습학원,뮤엠영어설악보습학원,보습,경기도 부천시 중동 1051-1번지 303호 일부,"경기도 부천시 원미구 중동로 326, 303호 일부 (중동)",37.50867364,126.7699052
부천시,중동,학교교과교습학원,이스턴영수제1보습학원,보습,경기도 부천시 중동 1056번지 제일프라자 404호 일부,"경기도 부천시 원미구 길주로 243, 404호 일부 (중동)",37.50433906,126.7694889
부천시,중동,학교교과교습학원,제니스영수보습학원,보습,"경기도 부천시 중동 1141번지 5층 505호, 511호","경기도 부천시 길주로 272, 5층 505호, 511호 (중동)",37.50284019,126.772434
부천시,중동,학교교과교습학원,애니포스만화미술학원,미술,경기도 부천시 중동 1159-8번지 하성빌딩 2층,경기도 부천시 원미구 석천로 174 하성빌딩 2층 (중동),37.50270426,126.7629912
부천시,중동,학교교과교습학원,에이원교육리딩스타어학원,실용외국어(유아/초·중·고),경기도 부천시 중동 1031-2번지 골든벨타워 501호,"경기도 부천시 원미구 길주로 181, 501호 (중동, 골든벨타워)",37.5052352,126.762576
부천시,중동,학교교과교습학원,빌드업영어보습학원,보습,경기도 부천시 중동 1289번지 201호,"경기도 부천시 원미구 중동로 100, 201호 (중동)",37.48984732,126.7675778
부천시,중동,학교교과교습학원,연세엔에스음악학원,음악,경기도 부천시 중동 1058-2번지 중동프라자 302호,경기도 부천시 원미구 길주로 275 중동프라자 302호 (중동),37.50384191,126.7732678
부천시,중동,학교교과교습학원,필라델피아어학.보습학원,음악,경기도 부천시 중동 1208번지 계남아카데미빌딩 4층 401~3호,경기도 부천시 원미구 부흥로 256 계남아카데미빌딩 4층 401~3호 (중동),37.49492623,126.7707734
부천시,중동,학교교과교습학원,토즈스터디센터중동독서실,독서실(유아/초·중·고),"경기도 부천시 중동 1134-2번지 골드존타워 603호일부, 604호","경기도 부천시 원미구 조마루로285번길 50, 603호일부, 604호 (중동, 골드존타워)",37.49962009,126.7752484
부천시,중동,학교교과교습학원,중원보습학원,보습,경기도 부천시 중동 1028-1번지 401호 일부,경기도 부천시 원미구 계남로 127 401호 일부 (중동),37.50845252,126.7629615
부천시,중동,학교교과교습학원,브람스음악학원,음악,"경기도 부천시 중동 1103번지 꿈마을 204호, 205호 일부","경기도 부천시 원미구 옥산로 71, 204호, 205호 일부 (중동, 꿈마을)",37.50000693,126.7796577
부천시,중동,학교교과교습학원,이투스투포세븐입시학원,입시,경기도 부천시 중동 1031-2번지 골든벨타워 301호,"경기도 부천시 원미구 길주로 181, 301호 (중동)",37.5052352,126.762576
부천시,중동,학교교과교습학원,한혜진영어입시학원,입시,경기도 부천시 중동 1289번지 508호,"경기도 부천시 원미구 중동로 100, 508호 (중동)",37.48984732,126.7675778
부천시,중동,학교교과교습학원,헤세드입시학원,입시,"경기도 부천시 중동 1034-5번지 3층 308호, 309호","경기도 부천시 길주로 221, 3층 308호, 309호 (중동)",37.50462282,126.7671922
부천시,중동,학교교과교습학원,callaninstitue(칼란인스티튜트)보습어학원,보습,"경기도 부천시 중동 1033번지 우신빌딩 601,602호","경기도 부천시 원미구 길주로 189, 우신빌딩 601,602호 (중동,우신빌딩)",37.50512,126.7635263
부천시,중동,학교교과교습학원,Y(와이)보습학원,보습,경기도 부천시 중동 1168-1번지 디아뜨1차 B동 204호,"경기도 부천시 원미구 소향로 113, B동 204호 (중동, 디아뜨 1차)",37.50259076,126.7603565
부천시,중동,학교교과교습학원,탑베스트최고입시학원,입시,경기도 부천시 중동 1058-2번지 중동프라자 2층 206호,"경기도 부천시 길주로 275, 2층 206호 (중동)",37.50384191,126.7732678
부천시,중동,학교교과교습학원,뉴욕LA어학원,실용외국어(유아/초·중·고),경기도 부천시 중동 1079-2번지 블래스랜드 303호,"경기도 부천시 원미구 길주로 317, 블래스랜드 303호 (중동,블래스랜드)",37.50322894,126.7777934
부천시,중동,학교교과교습학원,E&T(이엔티)수학보습학원,보습,경기도 부천시 중동 1058-2번지 중동프라자 301호,"경기도 부천시 길주로 275, 301호 (중동)",37.50384191,126.7732678
부천시,중동,학교교과교습학원,MAX보습학원,보습,경기도 부천시 중동 1159번지 이원빌딩 3층 301호,경기도 부천시 원미구 석천로 176 이원빌딩 3층 301호 (중동),37.50295665,126.7630469
부천시,중동,학교교과교습학원,더라인댄스무용학원,무용,"경기도 부천시 중동 1162-5번지 3층 309호, 310호","경기도 부천시 석천로 171, 3층 309호, 310호 (중동)",37.50275719,126.7624369
부천시,중동,학교교과교습학원,지혜의숲소르본독서역사논술보습학원,보습,경기도 부천시 중동 1149번지 부천중동리슈빌엔클래스 304호,"경기도 부천시 원미구 길주로 246, 304호 (중동, 부천중동리슈빌엔클래스)",37.503231,126.7695715
부천시,중동,학교교과교습학원,원탑영어수학보습학원,보습,경기도 부천시 중동 1173-1번지 보람마을동남아파트 상가동 303호,"경기도 부천시 원미구 석천로 105, 보람마을동남아파트상가동303호 (중동,보람마을동남아파트)",37.49742881,126.7607125
부천시,중동,학교교과교습학원,깊은수학입시학원,입시,"경기도 부천시 중동 588-1번지 3층, 4층","경기도 부천시 원미구 석천로110번길 9, 3층, 4층 (중동)",37.49712509,126.7619913
