연번,노선명,기점,종점,자전거도로종류,총연장길이(km),분리형 자전거도로(m),분리형 보도(m),분리형 유효폭원(m),비분리형 도로폭원(m),비분리형 유효폭원(m)
135,은성로4L,소사주공사거리,소사주공사거리,겸용도로(분리형),0.02,2,0,2,0,0
136,소사동로1R,동남삼거리,소사주공삼거리,겸용도로(분리형),0.68,1,5,3.5,0,0
137,소사동로2R,소사주공삼거리,소사주공사거리,겸용도로(분리형),0.1,1,5,3.5,0,0
138,소사동로3R,소사주공사거리,소사주공사거리,겸용도로(분리형),0.02,2,0,2,0,0
139,소사동로4R,소사주공사거리,동남사거리,겸용도로(비분리형),0.4,0,0,0,2.5,1.3
140,소사동로5R,동남사거리,범박휴먼시아1단지,겸용도로(비분리형),0.4,0,0,0,2.8,1.7
141,소사동로6R,범박휴먼시아1단지,범박휴먼시아1단지,겸용도로(분리형),0.32,3,7,5,0,0
142,소사동로7R,범박휴먼시아1단지,안곡로,겸용도로(분리형),0.56,2,7,2.8,0,0
143,소사동로1L,동남삼거리,소사주공사거리,겸용도로(분리형),0.82,1.2,5.2,3.7,0,0
144,소사동로2L,소사주공사거리,소사주공사거리,겸용도로(분리형),0.02,2,0,2,0,0
145,소사동로3L,소사주공사거리,동남지하차도,겸용도로(분리형),0.2,1.1,5,3.6,0,0
146,소사동로4L,동남지하차도,동남사거리,겸용도로(비분리형),0.2,0,0,0,2.6,1.4
147,소사동로5L,동남사거리,안곡로86번길,겸용도로(비분리형),0.4,0,0,0,2.6,1.4
148,소사동로6L,안곡로86번길,양지초교,겸용도로(비분리형),0.32,0,0,0,3.5,2.3
149,소사동로7L,양지초교,안곡로,겸용도로(분리형),0.48,2,7,2.8,0,0
150,소삼로1L,소사역푸르지오아파트,소사역푸르지오아파트,겸용도로(분리형),0.31,1.5,4,3,0,0
151,여월천자전거길1R,여월천,여월천,겸용도로(비분리형),0.12,0,0,0,3,3
152,굴포천자전거길1R,부천시자원순환센터,소통2교,겸용도로(비분리형),1.16,0,0,0,3,3
153,굴포천자전거길2R,소통2교,소통2교,겸용도로(비분리형),0.04,0,0,0,2.4,2.4
154,굴포천자전거길3R,소통2교,굴포천,겸용도로(비분리형),0.12,0,0,0,3,3
155,굴포천자전거길1L,굴포천,굴포천,겸용도로(비분리형),0.02,0,0,0,3,3
156,굴포천자전거길2L,굴포천,굴포천,겸용도로(비분리형),0.18,0,0,0,3,3
157,굴포천자전거길3L,굴포천,굴포천,겸용도로(비분리형),0.06,0,0,0,3,3
158,신상로1L,서촌사거리,부인중사거리,겸용도로(분리형),0.26,2,5.5,3.8,0,0
159,신상로2L,부인중사거리,한아름사거리,겸용도로(분리형),0.25,2,5.5,4,0,0
160,신상로3L,한아름사거리,부천정보고사거리,겸용도로(분리형),0.31,2,5.5,4,0,0
161,부흥로1R,상일고교,흥천삼거리,겸용도로(비분리형),0.13,0,0,0,4.2,2.7
162,부흥로2R,흥천삼거리,부천정보고사거리,겸용도로(분리형),0.3,2,6.2,4.7,0,0
163,부흥로3R,넘말사거리,영안아파트사거리,겸용도로(비분리형),0.42,0,0,0,4,2.5
164,부흥로4R,영안아파트사거리,복사골아파트사거리,겸용도로(비분리형),0.5,0,0,0,3.8,2.4
165,부흥로5R,복사골아파트사거리,계남고삼거리,겸용도로(분리형),0.24,1.3,4,2.7,0,0
166,부흥로6R,계남고삼거리,그린타운 금호아파트,겸용도로(분리형),0.17,1.3,4,2.7,0,0
167,부흥로7R,그린타운 금호아파트,그린타운 금호아파트,겸용도로(분리형),0.01,2,0,2,0,0
168,부흥로8R,그린타운 금호아파트,소방서사거리,겸용도로(분리형),0.46,1.3,4,2.7,0,0
169,부흥로9R,기둥교회,복개천사거리,겸용도로(비분리형),0.34,0,0,0,3.8,3
170,부흥로1L,상일고교,흥천삼거리,겸용도로(분리형),0.13,2,6.3,4.5,0,0
171,부흥로2L,흥천사거리,우체국삼거리,겸용도로(분리형),0.36,2,6,4.5,0,0
172,부흥로3L,우체국삼거리,넘말사거리,겸용도로(분리형),0.34,2,5,4.5,0,0
173,부흥로4L,넘말사거리,영안아파트사거리,겸용도로(비분리형),0.43,0,0,0,4,2.5
174,부흥로5L,영안아파트사거리,복사골아파트사거리,겸용도로(비분리형),0.5,0,0,0,4,2.5
175,부흥로6L,복사골아파트사거리,복지삼거리,겸용도로(분리형),0.74,1.2,4,2.8,0,0
176,부흥로7L,복지삼거리,소방서사거리,겸용도로(분리형),0.15,1.2,4,2.8,0,0
177,부흥로8L,기둥교회,복개천사거리,겸용도로(비분리형),0.33,0,0,0,3.2,2.4
178,부흥로,상동우체국,반달마을교차로,겸용도로(분리형),0.32,2.8,7.3,7.3,0,0
179,송내대로1R,화목사거리,중동전화국사거리,겸용도로(분리형),0.27,2.6,7.6,5.1,0,0
180,송내대로2R,중동전화국사거리,중동대로사거리,겸용도로(분리형),0.22,2.5,7.6,4.5,0,0
