연번,노선명,기점,종점,자전거도로종류,총연장길이(km),분리형 자전거도로(m),분리형 보도(m),분리형 유효폭원(m),비분리형 도로폭원(m),비분리형 유효폭원(m)
555,성오로3L,덕산어린이공원,예심교회,겸용도로(비분리형),0.45,0,0,0,2.7,2.7
556,성오로4L,오정로252번길,덕산어린이공원,겸용도로(비분리형),0.07,0,0,0,1.7,1
557,수변로1R,웅진플레이도시,삼산체육관사거리,겸용도로(비분리형),0.48,0,0,0,4.2,2.7
558,수변로2R,삼산체육관사거리,한국만화박물관,겸용도로(비분리형),0.22,0,0,0,3,1.7
559,오정로251번길1R,덕산고등학교교차로,청보아파트,겸용도로(분리형),0.17,1,4,2.6,0,0
560,오정로251번길2R,청보아파트,봉오대로교차,겸용도로(비분리형),0.09,0,0,0,2,1.6
561,오정로251번길1L,청보아파트,덕산고등학교,겸용도로(분리형),0.18,1.2,3,1.6,0,0
562,오정로251번길2L,봉오대로교차,청보아파트,겸용도로(비분리형),0.1,0,0,0,2,1.6
563,신흥로275번길R,중동로교차,도서관사거리,겸용도로(분리형),0.45,1.5,3,2.4,0,0
564,신흥로276번길L,도서관사거리,중동로교차,겸용도로(분리형),0.46,2,5,3.5,0,0
565,신흥로284번길R,신흥로교차,정주로48번길,겸용도로(분리형),0.18,1.3,4.5,3.1,0,0
566,산업로104번길1R,봉오대로교차,동부라이텍,겸용도로(비분리형),0.09,0,0,0,3,2.6
567,산업로104번길2R,동부라이텍,산업로교차,겸용도로(분리형),0.07,1.2,3,1.4,0,0
568,산업로104번길1L,동부라이텍,봉오대로교차,겸용도로(비분리형),0.09,0,0,0,3,2.6
569,산업로104번길2L,산업로교차,동부라이텍,겸용도로(비분리형),0.06,0,0,0,2.6,1.1
570,성지로,우림메르디앙,은데미예술마당,겸용도로(비분리형),0.21,0,0,0,3.6,2.4
571,상동 484,삼익선경아파트,삼익선경아파트,겸용도로(분리형),0.2,3,7.5,7.5,0,0
572,상동 484,상도초교,삼익선경아파트,겸용도로(분리형),0.12,3,5,5,0,0
573,상동 484,삼익선경아파트,상동주민센터,겸용도로(분리형),0.45,3,5,5,0,0
574,상동 484,서문교회,부명고교,겸용도로(분리형),0.3,3,5,5,0,0
575,상동 469,부천정보산업고교,한아름동아아파트,겸용도로(분리형),0.27,3,5,5,0,0
576,상동 623,상일고교,웅진플레이도시,겸용도로(분리형),0.45,2.3,4.3,2.8,0,0
577,상동 624-2,상동중교,웅진플레이도시,겸용도로(분리형),0.4,2,5.8,5,0,0
578,상동 639,흥천사거리,건강사거리,겸용도로(비분리형),0.4,0,0,0,2,1.3
579,상동 472,반달선경아파트,반달삼익아파트,겸용도로(분리형),0.4,2.5,5,5,0,0
580,상동 472,상1동주민센터,반달삼익아파트,겸용도로(분리형),0.13,2.4,6.3,6.3,0,0
581,중동 1247-1,경기국제통상고교,뉴서울아파트,겸용도로(분리형),0.28,3,5,5,0,0
582,상동시민의강,하얀경남아파트,하얀주공아파트,겸용도로(분리형),0.28,2,5,5,0,0
583,중동 1255,순천향대학병원,순천향대학병원,겸용도로(분리형),0.16,3.2,5.2,5.2,0,0
584,중동 1255,부명중교,LG아파트,겸용도로(분리형),0.38,3.2,5.2,5.2,0,0
585,중동 1261,계남고삼거리,계남초교교차로,겸용도로(분리형),0.28,3,5,5,0,0
586,중동 1261,그린타운삼성아파트,우성그린타운아파트,겸용도로(분리형),0.7,3,5,5,0,0
587,송내동 472,송내동자이아파트,송내동자이아파트,겸용도로(분리형),0.1,1.3,5,3.7,0,0
588,송내동 472,송내동자이아파트,송내동자이아파트,겸용도로(분리형),0.13,1.4,4,2.5,0,0
589,중동 881-3,부천시민회관,부천중교,겸용도로(분리형),0.57,1.5,3.5,2.2,0,0
590,중동 1128-3,금호프라자빌딩,부천교회,겸용도로(분리형),0.09,3,10,8.5,0,0
591,중동 1134-5,아스트타워빌딩,중동아크라텔,겸용도로(분리형),0.09,3,9,6,0,0
592,중동 1133-7,중동,중동,겸용도로(분리형),0.3,3,10.7,10.2,0,0
593,중동 1277,연화대원아파트,연화대원아파트,겸용도로(분리형),0.2,2.7,5,5,0,0
594,고강동 11-60,오정대로삼거리,오정대로삼거리,겸용도로(분리형),0.22,2,5,4,0,0
595,고강동 12,오정대로삼거리,오정대로삼거리,겸용도로(분리형),0.23,2,5,4,0,0
596,고강동 1-12,SK주유소,고강동공영차고지,겸용도로(비분리형),0.17,0,0,0,2,1.3
597,옥길동 554-3,옥길동,옥길동,겸용도로(분리형),0.36,1.5,5,4,0,0
598,옥길동 446-2,옥길동,옥길동,겸용도로(분리형),0.07,1.5,5,2.5,0,0
599,옥길동429-1,옥길동,옥길동,겸용도로(분리형),0.07,1.5,5,4,0,0
600,옥길동 446-2,옥길동,옥길동,겸용도로(분리형),0.01,2,0,2,0,0
601,옥길동 434,옥길동,옥길동,겸용도로(분리형),0.18,1.5,5,4,0,0
602,옥길동 434,옥길동,옥길동,겸용도로(분리형),0.01,2,0,2,0,0
603,옥길동 438-1,옥길동,옥길동,겸용도로(분리형),0.12,1.5,5,4,0,0
604,옥길동 554-2,옥길동,옥길동,겸용도로(분리형),0.75,1.5,5,4,0,0
605,옥길동 434,옥길동,옥길동,겸용도로(분리형),0.03,2,0,2,0,0
606,옥길동 434,옥길동,옥길동,겸용도로(분리형),0.03,2,0,2,0,0
607,삼정동366-2(1),열병합발전소삼거리,IBK기업은행,겸용도로(비분리형),0.21,0,0,0,4.3,3
608,삼정동366-2(2),IBK기업은행,열병합발전소삼거리,겸용도로(비분리형),0.19,0,0,0,3.5,2.2
609,삼정동366-4(1),IBK기업은행,아파트형공장사거리,겸용도로(비분리형),0.1,0,0,0,4,2
610,삼정동366-4(2),아파트형공장사거리,신한은행,겸용도로(비분리형),0.16,0,0,0,4,2.6
611,삼정동366-4(3),삼정부그리안아파트,우리은행,겸용도로(비분리형),0.16,0,0,0,3.5,2.1
612,삼정동366-4(4),우리은행,삼정부그리안아파트,겸용도로(비분리형),0.16,0,0,0,3.5,1.8
613,약대동194-3(1),신한은행,평천로교차,겸용도로(비분리형),0.28,0,0,0,4.5,2.1
614,약대동194-3(2),평천로교차,신한은행,겸용도로(비분리형),0.27,0,0,0,3.5,2.1
615,춘의동145,춘의사거리,뉴서울앵글총판,겸용도로(비분리형),0.14,0,0,0,6.1,4.8
616,중동1252,이마트,부천시청어린이집,겸용도로(분리형),0.24,2,5,3.6,0,0
617,중동1253,부천시청테니스장,길주로교차,겸용도로(분리형),0.24,2.2,5.5,3.8,0,0
618,상동548-10L,상동지하차도,소양로13번길,겸용도로(비분리형),0.05,0,0,0,9.4,2.9
619,상동548-10R,상동지하차도,소양로37번길,겸용도로(비분리형),0.21,0,0,0,3,1.8
620,중동1230-1,풍성한교회,도약로교차,겸용도로(분리형),0.27,2.9,5,5,0,0
621,중동1229-1,계남로교차로,도약로교차,겸용도로(분리형),0.27,2.1,5.3,5.3,0,0
622,상동525-2,석천초등학교,도약로교차,겸용도로(분리형),0.27,3.1,8.1,4.1,0,0
623,상동528-3,상3동주민센타,계남로교차로,겸용도로(분리형),0.19,3.1,8.1,4.1,0,0
624,내동222-165,대화주류,삼정3교,겸용도로(분리형),0.23,3.1,5.5,4.8,0,0
625,상동550-8,건강사거리,코오롱이데아폴리스,겸용도로(비분리형),0.27,0,0,0,2,1.3
626,상동633-1,행복한금호아파트,굿모닝오피스텔,겸용도로(분리형),0.17,2,4,2,0,0
627,상동531-1,스타팰리스2,고두마리삼거리,겸용도로(분리형),0.17,2,4,2,0,0
628,상동630,고두마리삼거리,길주삼거리,겸용도로(분리형),0.18,2,9,5.3,0,0
629,상동525-7,길주삼거리,도약삼거리,겸용도로(비분리형),0.25,0,0,0,2,1.3
630,상동549,건강사거리,중동IC,겸용도로(분리형),0.47,2,4,3.3,0,0
631,상동529-44,중동IC,도약삼거리,겸용도로(분리형),0.72,2,4,3.3,0,0
632,오정동452,대화주류,삼정교 ,겸용도로(비분리형),0.75,0,0,0,2.5,1.8
633,삼정동48-80,삼정3교,삼정교,겸용도로(분리형),0.55,3.2,0.64,5.3,0,0
634,대장동296-5,하오정교,네르네천동부간선수로,겸용도로(비분리형),0.79,0,0,0,3,3
635,오정동36-1,하오정교,봉오대로교차,겸용도로(비분리형),0.3,0,0,0,3.1,3.1
636,원종동115-3,하오정교,부천대명초등학교,겸용도로(비분리형),0.67,0,0,0,3,3
637,상동633 ,상동지하차도,상동지하차도,겸용도로(비분리형),0.04,0,0,0,5.2,5.2
638,상동633 ,상동지하차도,상동지차,겸용도로(비분리형),0.04,0,0,0,4.5,4.1
639,남부순환로,고강지하차도,강서구(시계),전용도로,0.27,1.8,,,,
640,남부순환로,고강지하차도,강서구(시계),전용도로,0.27,1.8,,,,
