"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000012965,합덕고등학교,고등학교,1969-04-24,공립,본교,운영,충청남도 당진시 합덕읍 소소리 51-5,충청남도 당진시 합덕읍 면천로 1583,8140000,충청남도교육청,8291000,충청남도당진교육지원청,2013-11-29,2020-09-22,36.8133974573,126.7602994479,2021-03-25
B000003998,대지초등학교,초등학교,1963-12-26,공립,본교,운영,경기도 용인시 수지구 죽전동 313-3,경기도 용인시 수지구 대지로51번길 6,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-22,37.3301710629,127.1160431131,2021-03-25
B000002905,대구남부초등학교,초등학교,1976-11-25,공립,본교,운영,대구광역시 달서구 성당동 660,대구광역시 달서구 야외음악당로15길 46,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2020-09-22,35.8444413200,128.5499618433,2021-03-25
B000010539,고흥도덕중학교,중학교,1979-03-07,공립,본교,운영,전라남도 고흥군 도덕면 신양리 1350,전라남도 고흥군 도덕면 고흥만로 113,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2013-11-29,2020-09-22,34.5755160336,127.1755624686,2021-03-25
B000003970,이현초등학교,초등학교,2003-03-01,공립,본교,운영,경기도 용인시 기흥구 보정동 1164,경기도 용인시 기흥구 이현로 83,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-22,37.3102950803,127.0931043831,2021-03-25
B000013257,영양고등학교,고등학교,1953-04-01,공립,본교,운영,경상북도 영양군 영양읍 서부리 540,경상북도 영양군 영양읍 중앙로 81,8750000,경상북도교육청,8891000,경상북도영양교육지원청,2013-11-29,2020-09-22,36.6607743352,129.1108216039,2021-03-25
B000011903,금오공업고등학교,고등학교,1972-11-15,공립,본교,운영,경상북도 구미시 공단동 111,경상북도 구미시 구미대로30길 59,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2020-09-22,36.1180867845,128.3697453869,2021-03-25
B000011320,인덕과학기술고등학교,고등학교,1963-12-14,사립,본교,운영,서울특별시 노원구 월계동 648-7,서울특별시 노원구 초안산로 12,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.6303438661,127.0544999152,2021-03-25
B000013580,상주여자고등학교,고등학교,1953-04-14,공립,본교,운영,경상북도 상주시 복룡동 178-3,경상북도 상주시 삼백로 315,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2020-09-22,36.4205062903,128.1787791280,2021-03-25
B000009156,정천중학교,중학교,2003-03-01,공립,본교,운영,경기도 수원시 팔달구 화서동 708,경기도 수원시 팔달구 정자천로32번길 11,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2020-09-22,37.2893991624,126.9819422,2021-03-25
