업종명,신고일자,업소명,영업소 주소(도로명),우편번호(도로명),객실 수,소재지 전화,책임동명(광역동)
숙박업(일반),2006-02-27,플로체호텔,"경기도 부천시 길주로77번길 19-22, 3-8층 (상동)",14543,74,    - 325-0000,상동
숙박업(일반),2006-09-04,동서울여관,경기도 부천시 신흥로22번길 49 (심곡동),14636,18, 032- 663-9996,심곡동
숙박업(일반),2007-09-13,부흥장,경기도 부천시 성무로 5 (심곡본동),14752,18,032 -664 -3944,대산동
숙박업(일반),2008-01-09,엔모텔,경기도 부천시 길주로77번길 29 (상동),14543,29,032 -329 -5809,상동
숙박업(일반),2008-02-25,프라하,"경기도 부천시 원미로17번길 18, 1-7층 (심곡동)",14643,42,032 - 655-0059,심곡동
숙박업(일반),2008-08-28,대지여인숙,"경기도 부천시 부천로6번길 13 (심곡동,2.3층)",14644,12,    - 654-7773,심곡동
숙박업(일반),2008-10-24,호수장,"경기도 부천시 신흥로22번길 41, 1,2층 (심곡동)",14636,13,    -667 -1246,심곡동
숙박업(일반),2008-11-06,모텔라망,경기도 부천시 원미로13번길 15 (심곡동),14643,27,032 -654 -0651,심곡동
숙박업(일반),2009-01-07,호텔두루와,경기도 부천시 신흥로22번길 45-6 (심곡동),14636,30,032 -614 -0020,심곡동
숙박업(일반),2009-06-03,네덜란드모텔,"경기도 부천시 호현로488번길 10, 2~4층 (소사본동)",14704,15,032 -341 -7868,소사본동
숙박업(일반),2009-08-11,팔레스호텔,경기도 부천시 길주로77번길 21 (상동),14543,47,032 -329 -6612,상동
숙박업(일반),2010-04-05,에버호텔,경기도 부천시 길주로121번길 18-21 (상동),14542,55,032 -326 -2002,상동
숙박업(일반),2010-09-02,호텔코보스,"경기도 부천시 석천로170번길 11 (중동,코보스건물)",14547,63,032 -326 -4471,신중동
숙박업(일반),2010-12-21,마이호텔,"경기도 부천시 길주로121번길 18-11, 1-8층 (상동)",14542,56,032 -322 -3593,상동
숙박업(일반),2011-04-19,모텔알(R),"경기도 부천시 길주로77번길 55-15, 1-8층 (상동)",14543,37,032 -321 -6401,상동
숙박업(일반),2011-06-24,시크릿호텔,"경기도 부천시 길주로77번길 19-8, 1-8층 (상동)",14543,44,032 -325 -9090,상동
숙박업(일반),2011-07-12,케이(K)호텔,"경기도 부천시 길주로77번길 27, 1, 3-8층 (상동)",14543,40,032 -329 -3388,상동
숙박업(일반),2012-10-30,해동장모텔,경기도 부천시 부일로432번길 27 (심곡동),14636,20,--,심곡동
숙박업(일반),2014-09-29,장미여관,"경기도 부천시 부일로 435, 2층,3층 (심곡동)",14635,12,032 -667 -1750,심곡동
숙박업(일반),2016-06-01,호텔밀포드,"경기도 부천시 원미로17번길 42 (심곡동, 지하1층~8층)",14643,43,032 -655 -5000,심곡동
숙박업(일반),2017-08-09,제일여관,경기도 부천시 부일로496번길 8 (심곡동),14644,19,032 -666 -8006,심곡동
숙박업(생활),1984-05-24,소사빌,경기도 부천시 호현로 475 (소사본동),14755,18, 032- 343-7748,소사본동
숙박업(생활),1988-07-04,창성여인숙,"경기도 부천시 호현로474번길 14, 1~2층 (소사본동)",14705,19, 032- 349-6110,소사본동
숙박업(생활),1990-01-22,어반후스,"경기도 부천시 부천로6번길 56 (심곡동,, 142-6)",14643,29,032 -667 -5814,심곡동
숙박업(생활),2001-03-13,365st,경기도 부천시 부흥로374번길 25-6 (심곡동),14630,24,    - 611-8830,심곡동
숙박업(생활),2002-10-29,카프리,경기도 부천시 성무로 7 (심곡본동),14752,40,032 -679 -0063,대산동
숙박업(생활),2012-11-27,시티텔지엠,"경기도 부천시 부천로1번길 38, 1-6층 (심곡동)",14637,44,070 -7361-9178,심곡동
숙박업(생활),2013-09-06,드림하우스,"경기도 부천시 원종로65번길 14-23 (원종동, 2,3,4층)",14420,21,032 -673 -6898,오정동
숙박업(생활),2013-02-01,스타빌,"경기도 부천시 원미로17번길 10, 1-5층 (심곡동)",14643,26,070 -7320-1000,심곡동
