시군명,시설구분명,시설명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,체육도장업,용인대황룡태권도,경기도 부천시 중동 1039-1번지 은하마을주공@상가동 지층1호,"경기도 부천시 계남로 165, 상가동 지층 1호 (중동, 은하마을주공아파트)",37.5074788,126.7671605
부천시,체육도장업,충호태권도장,경기도 부천시 오정동 571-3 2층 ,"경기도 부천시 부천로476번길 64, 2층 (오정동)",37.52658362,126.7860629
부천시,체육도장업,연세대태권도스포츠YTS본관,경기도 부천시 역곡동 109-19번지 은하빌딩 2층,"경기도 부천시 역곡로20번길 49, 2층 (역곡동, 은하빌딩)",37.4878214,126.8134564
부천시,체육도장업,한국체대 백두산태권도장,경기도 부천시 여월동 335번지 206호,"경기도 부천시 여월로 70, 206호 (여월동)",37.51128989,126.8064638
부천시,체육도장업,나토얀태권도,경기도 부천시 원종동 134-7번지 3층,"경기도 부천시 소사로793번길 22  (원종동,3층)",37.5267553,126.8037421
부천시,체육도장업,용인대 태권도,경기도 부천시 오정동 543번지 401호,"경기도 부천시 오정로 250  (오정동,401호)",37.529482,126.7865161
부천시,체육도장업,태비태권도,경기도 부천시 중동 1030-4번지 지하1층 ,"경기도 부천시 계남로 104, 지하1층 (중동)",37.50845249,126.7603367
부천시,체육도장업,박용호 트레이닝 연구소,경기도 부천시 상동 543-1번지 승재밀레니엄오피스텔 ,"경기도 부천시 소향로 55-15, 승재밀레니엄오피스텔 208호 (상동)",37.50398231,126.7536343
부천시,체육도장업,부천정도태권도,경기도 부천시 송내동 428-20번지,경기도 부천시 중동로 5 (송내동),37.4803701,126.7637183
부천시,체육도장업,역곡경희대태권도체육관,경기도 부천시 역곡동 99-10번지 2층호,"경기도 부천시 역곡로 58,  2층호 (역곡동)",37.4900677,126.8096515
부천시,체육도장업,한국태권도장,경기도 부천시 오정동 140-80번지,경기도 부천시 성곡로 118-15  (오정동),37.5229217,126.7959582
