관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
925,소로3류1호선,시도925호선(오정-오정),오정동 196,오정동 198,0.18,0.18,0.18,,,,
926,소로3류2호선,시도926호선(오정-오정),오정동 196,오정동 196,0.227,0.227,0.227,,,,
927,소로3류3호선,시도927호선(오정-오정),오정동 196,오정동 196,0.254,0.254,0.254,,,,
928,소로3류4호선,시도928호선(오정-오정),오정동 196,오정동 196,0.066,0.066,0.066,,,,
929,소로3류5호선,시도929호선(오정-오정),오정동 196,오정동 196,0.162,0.162,0.162,,,,
930,소로3류6호선,시도930호선(오정-오정),오정동 196,오정동 196,0.11,0.11,0.11,,,,
931,소로3류7호선,시도931호선(오정-오정),오정동 104-3,오정동 233-2,0.402,0,,,,,0.402
932,소로3류8호선,시도932호선(오정-오정),오정동 171,오정동 169,0.53,0.53,0.53,,,,
933,소로3류9호선,시도933호선(오정-오정),오정동 169,오정동 71,0.53,0.53,0.53,,,,
934,소로3류10호선,시도934호선(오정-오정),오정동 169,오정동 71,0.46,0.46,0.46,,,,
935,소로3류11호선,시도935호선(오정-오정),오정동 169,오정동 170,0.297,0.297,0.297,,,,
936,소로3류12호선,시도936호선(오정-오정),오정동 169,오정동 170,0.245,0.245,0.245,,,,
937,소로3류13호선,시도937호선(오정-오정),오정동 169,오정동 169,0.254,0.254,0.254,,,,
938,소로3류14호선,시도938호선(오정-오정),오정동 169,오정동 169,0.34,0.34,0.34,,,,
939,소로3류15호선,시도939호선(오정-오정),오정동 170,오정동 173,0.41,0.41,0.41,,,,
940,소로3류16로선,시도940호선(오정-오정),오정동 171,오정동 175,0.43,0.43,0.43,,,,
941,소로3류17호선,시도941호선(오정-오정),오정동 175,오정동 170,0.52,0.52,0.52,,,,
942,소로3류18호선,시도942호선(오정-오정),오정동 175,오정동 173,0.44,0.44,0.44,,,,
943,소로3류19호선,시도943호선(오정-오정),오정동 172,오정동 173,0.36,0.36,0.36,,,,
944,소로3류20호선,시도944호선(오정-오정),오정동 175,오정동 174,0.285,0.285,0.285,,,,
