,이름,지번주소,위도,경도
52,연세대 튼튼 태권도장,경기도 부천시 소사본동 409-1번지 ,37.47281286,126.8032897
53,용인대금성태권도장,경기도 부천시 중동 1104번지 2층,37.5014296,126.7791897
54,임흥식 복싱클럽,경기도 부천시 상동 410-3 3층 ,37.48973627,126.7525013
55,백호태권도장,경기도 부천시 원미동 94-3번지,37.493424,126.7912677
56,경희대석사비룡태권도장,경기도 부천시 중동 1186번지,37.494182,126.7680504
57,백상태권도체육관,경기도 부천시 심곡동 110-1번지,37.4934021,126.7841891
58,비전 태권도장,경기도 부천시 고강동 295-1번지 4층,37.5238132,126.8117138
59,용인대명문체육관,경기도 부천시 삼정동 296-13번지,37.5185121,126.7697388
60,엘리트 합기도특공무술&태권도,경기도 부천시 옥길동 726-4번지,37.4671839,126.8219299
61,강무체육도장,경기도 부천시 송내동 612-5번지,37.4793205,126.7705164
62,쌍호태권도장,경기도 부천시 고강동 377-29번지 ,37.5266986,126.8187657
63,여의도순복음태권도,경기도 부천시 상동 554-3번지 해피플러스 701호,37.501674,126.7528276
64,가온키즈펀 태권도,경기도 부천시 원종동 374-4번지 3층 ,37.519927,126.804439
65,명성체육관,경기도 부천시 중동 884번지,37.4920707,126.7665757
66,김재경 복싱클럽,경기도 부천시 원종동 222번지,37.5237904,126.8033541
67,오상태권도,경기도 부천시 춘의동 216-0002번지 2층,37.5010676,126.7831828
68,부천현대체육관,경기도 부천시 범박동 154-2 부천 범박 힐스테이트 1단지 상가동 ,37.47493636,126.8088003
69,천권사관태권도장,경기도 부천시 심곡동 357-4번지,37.48765,126.7727406
70,경희대 코리아 UTC 태권도,경기도 부천시 괴안동 109번지 seco plaza 302,37.4829587,126.8095228
71,청무검도관,경기도 부천시 중동 1134-1번지 401반,37.4999802,126.7751342
72,꿈나무태권도,경기도 부천시 상동 523-8번지 외1필지 에이스프라자 402호,37.5125933,126.7524971
73,부천화랑태권도,경기도 부천시 심곡동 327 ,37.49096636,126.7763458
74,kosa태권도아카데미,경기도 부천시 상동 546-6번지,37.5038676,126.7505471
75,힘찬 태권도,경기도 부천시 삼정동 314-1번지 2층,37.5160092,126.7706854
76,K브레인태권도장,경기도 부천시 약대동 216-1번지,37.5158728,126.7655506
77,금메달체육관(태권),경기도 부천시 송내동 365-5번지,37.4848437,126.7615784
78,용인대신도태권도체육관,경기도 부천시 중동 1172번지,37.498541,126.7582775
79,통일태권도체육관,경기도 부천시 송내동 545-11번지,37.4843468,126.7699129
80,용인대경용태권도장,경기도 부천시 소사본동 400-3번지 305호,37.467902,126.7981898
81,명지태권도,경기도 부천시 오정동 582-3번지 2층,37.5255881,126.7856563
82,동광신체육관,경기도 부천시 상동 541-1번지 메가플러스 603호,37.5050636,126.7536872
83,용인대한국태권도,경기도 부천시 상동 537-2번지 아름다운프라자 201호,37.5069527,126.7565762
84,자존감 태권도장,경기도 부천시 상동 546-10번지 302호,37.50373464,126.7515542
85,역곡 백호 태권도장,경기도 부천시 괴안동 124번지 3층,37.4826771,126.8137068
86,경희대 펀 태권도장,"경기도 부천시 송내동 315번지 송내역파인푸르지오1단지 G동 107,108호",37.485405,126.754216
87,베스트유소년스포츠클럽,경기도 부천시 범박동 44-8번지,37.4692639,126.8097164
88,고리울태권도,경기도 부천시 춘의동 211-1번지 4층,37.500595,126.7858305
89,부안체육도장(태권),경기도 부천시 괴안동 109-14번지,37.4830141,126.810348
90,한국체대천마태권도,경기도 부천시 중동 1175-2번지,37.4964856,126.7666071
91,신정체육관,경기도 부천시 괴안동 28-3번지,37.4789295,126.8030777
92,해동청체육관,경기도 부천시 원종동 131-4 ,37.52741961,126.8022728
93,버팔로복싱짐,"경기도 부천시 중동 1142-18 301,2호",37.50211165,126.7726971
94,부천종합운동장,경기도 부천시 춘의동 8번지,37.503069,126.7988743
95,북부수자원생태공원내 인조잔디구장,경기도 부천시 대장동 434번지,37.5467016,126.7685761
96,오정대공원 인조잔디구장,경기도 부천시 오정동 1-3번지,37.529812,126.7946608
97,종합운동장 보조구장,경기도 부천시 춘의동 8번지,37.503069,126.7988743
98,부천체육관 인조잔디구장,경기도 부천시 중동 1024번지,37.5135065,126.7626852
99,경희대동우태권도체육관,경기도 부천시 상동 533-2번지 302반,37.5076782,126.7502742
100,서울스포츠대학원대부흥도장,경기도 부천시 중동 1039-1번지,37.5074788,126.7671605
101,JTA 태권도장,경기도 부천시 중동 1289번지 팰리스카운티 중앙상가 204호 ,37.48984732,126.7675778
102,Fine Taekwondo,경기도 부천시 원종동 241-11번지 2층,37.5285097,126.8076292
103,K.O GYM,경기도 부천시 중동 1138번지 호정프라자 302호,37.50145688,126.7746095
104,백호체육관,경기도 부천시 소사본동 244-83번지,37.4748796,126.8004883
105,정우체육관,경기도 부천시 상동 231-35번지,37.4924858,126.7624358
106,용인대 소일체육관,"경기도 부천시 소사본동 400-7번지 청구아파트 상가동 304,305,306호",37.4687694,126.7996005
107,석사 경희대 한미 태권도장,경기도 부천시 역곡동 74-136번지 청호빌딩 4층,37.4877622,126.8102906
108,엔젤태권도,경기도 부천시 오정동 566-15번지,37.5240948,126.786905
109,대한신성태권도스쿨,경기도 부천시 심곡본동 678-12번지,37.4813776,126.7813863
110,케이맥태권도,경기도 부천시 상동 544-4번지 가나베스트타운쓰리 311호,37.4870655,126.7642397
111,용인대 황룡 태권도장,경기도 부천시 소사본동 144-8 ,37.47788712,126.7926112
112,무림검도관(검도),경기도 부천시 심곡본동 729-4번지,37.4801259,126.7817744
113,용인대명문태권도,경기도 부천시 송내동 454-11번지 2층,37.4796497,126.7684351
114,용인대 도당 유도 체육관,경기도 부천시 도당동 108번지 청오빌딩,37.5199224,126.7914304
115,청소년사랑터리더스클럽,경기도 부천시 상동 541-1번지 메가플러스 411호,37.5050636,126.7536872
116,피노키오 복싱,경기도 부천시 심곡동 399-8번지 3층,37.4865376,126.7799691
117,반달태글리쉬,경기도 부천시 상동 403번지 402반,37.4908446,126.7530786
118,송원상동유도관,경기도 부천시 상동 537-2번지 501호,37.5069527,126.7565762
119,석사 경희대 태권도장,경기도 부천시 심곡본동 709번지 ,37.4780702,126.7809665
120,선 태권도장,경기도 부천시 역곡동 107-8 열린치과 ,37.48868204,126.8118974
121,동곡태권도전문체육관,경기도 부천시 역곡동 225-6번지 3층,37.4895654,126.816652
122,나래태권도장,경기도 부천시 원종동 377-4번지 ,37.5171508,126.8037676
123,PARK'S 영어 태권도,경기도 부천시 상동 544-4번지 가나베스트타운5층 505호,37.5051238,126.7523524
124,역곡키즈태권도체육관,경기도 부천시 역곡동 28-3번지,37.4855453,126.8045186
125,늘푸른태권도장,경기도 부천시 괴안동 108-3번지 삼일빌딩3층,37.4828166,126.8108234
126,호랑이태권도,"경기도 부천시 상동 534-1번지 승재프라자 604,605호",37.5073956,126.7529669
127,참태권도체육관,경기도 부천시 소사본동 135번지 소사에스케이뷰아파트 ,37.47712256,126.8001319
128,아이런클럽,경기도 부천시 소사본동 400-2번지 302호,37.4677934,126.7979414
129,용인대 준 태권도장,경기도 부천시 내동 330번지,37.5207056,126.7861003
130,현대 태권도,"경기도 부천시 중동 1208 계남아카데미 빌딩 502,5호",37.49502534,126.7709558
131,키즈엘리트태권도장,경기도 부천시 상동 546-4번지 502반,37.5039298,126.7501624
132,한울태권도,경기도 부천시 심곡본동 648-11번지,37.4797327,126.7786891
133,용인대송일백호태권도장,경기도 부천시 송내동 398-1번지 2층,37.4827085,126.7616644
134,정우종합체육관(태권),경기도 부천시 괴안동 109-4번지,37.483239,126.8101553
135,한국키즈태권도,경기도 부천시 상동 533-11번지,37.5074302,126.7522995
136,누리 태권도장,경기도 부천시 소사본동 143-20 ,37.47815175,126.7931516
137,경희태권도체육관,경기도 부천시 중동 1170번지 포도마을 상가동 3층,37.5010113,126.7590724
138,홍익태권도장,경기도 부천시 괴안동 70-13번지,37.4792328,126.8066269
139,용인대튼튼태권도장,경기도 부천시 상동 533-8번지 대림타운 603호,37.5075368,126.7515527
140,예의바른태권도장,경기도 부천시 상동 544-11번지 새롬프라자15차 505호,37.50367292,126.7521877
141,대광태권도,경기도 부천시 원종동 229-8번지 401호,37.5255942,126.8044579
142,국가대표 태비 태권도장,경기도 부천시 원미동 103-10 ,37.49325359,126.7878509
143,부천김진호복싱남여다이어트,경기도 부천시 중동 1162-9번지 303호,37.502926,126.7612714
144,K.T.M 차오름 태권도장,경기도 부천시 중동 1040-5번지 덕유마을 상가 지층호,37.509204,126.769304
145,홍익 태권도,경기도 부천시 원미동 123-1번지 지하층,37.4928771,126.7878204
146,삼정석사태권도체육관,경기도 부천시 삼정동 307-7번지 2층,37.5171738,126.7718582
147,올림픽 태권도장,경기도 부천시 소사본동 400-9 신한은행소사지점 ,37.46906677,126.8008365
148,명문체육관,경기도 부천시 상동 236-45번지 3층,37.4924818,126.7648783
149,용인대꿈마을태권도장,경기도 부천시 중동 1096-1번지 2층,37.5005408,126.7809113
150,라온태권도장,경기도 부천시 원미동 1-8번지 태진빌딩 3층 ,37.4984001,126.7927464
151,명동체육관,경기도 부천시 상동 239번지 3층,37.4910922,126.7638537
152,성무체육도장,경기도 부천시 중동 805-2번지,37.4877302,126.7677201
153,원미창조태권도,경기도 부천시 심곡동 800번지 하나리아벨주상복합아파트상가 201호,37.488343,126.7866574
154,부천복싱남녀다이어트,경기도 부천시 상동 400-3번지 ,37.49120367,126.7524103
155,용인대학석사 Y&J태권도장,경기도 부천시 상동 571-6번지 백송마을 풍림아이원 상가동 204~7호,37.4985109,126.7483035
156,용인대 진성태권도,경기도 부천시 원종동 313-10번지 부천프라자5층,37.5236791,126.8068725
157,용인대심곡태권도체육관,경기도 부천시 심곡본동 701번지,37.4781289,126.77866
158,새나라태권도장,경기도 부천시 범박동 35-1 신한은행365 ,37.47136799,126.8089689
159,힘찬체육관,경기도 부천시 심곡동 188-4번지 2층,37.4881202,126.7879697
160,상도꿈나무도장,경기도 부천시 상동 445번지,37.4930154,126.7570743
161,효재태권도,경기도 부천시 상동 399번지 반달마을상가 3층 307호 ,37.4900638,126.7502431
162,도당태권도장,경기도 부천시 도당동 108 청오빌딩 ,37.52003648,126.7914892
163,금메달태권도장,경기도 부천시 범박동 155-1번지 홈타운3단지 상가304호,37.4725446,126.8103749
164,용인대도전체육관(권투),경기도 부천시 상동 235번지 301호(3층),37.4927299,126.7628308
165,청도태권도체육관,경기도 부천시 심곡동 296-5번지 2층호,37.4929571,126.7775188
166,태비한울태권도장,경기도 부천시 중동 1103번지 꿈마을 상가 201호,37.5000069,126.7796576
167,대무체육도장,경기도 부천시 심곡본동 707-5번지,37.4774554,126.7798491
168,꿈나무태권도,경기도 부천시 상동 523-2번지 동양프라자 3층 ,37.5127622,126.7513882
169,M복싱클럽,경기도 부천시 소사본동 278-54번지,37.4722684,126.8014337
170,현대체육관,경기도 부천시 도당동 67-28번지,37.5173159,126.7899673
171,청해진,경기도 부천시 춘의동 173-4번지 3층,37.5025631,126.7830767
172,BEST태권도장,경기도 부천시 송내동 614-3 ,37.4793785,126.7695923
173,꿈마을 정도체육관,경기도 부천시 중동 1096-1번지 2층,37.5005408,126.7809113
174,레드복싱클럽,경기도 부천시 역곡동 78-9번지 3층,37.4854277,126.8096861
175,연세복싱,경기도 부천시 심곡동 93-13번지 3층일부,37.4937362,126.7846065
176,富天 ACE태권도장,경기도 부천시 심곡동 800번지,37.488343,126.7866574
177,한마루 태권play,경기도 부천시 범박동 151-2번지 현대홈타운아파트 5차 단지내 상가 302호,37.4689905,126.8078519
178,경희태권도,경기도 부천시 소사본동 204-15번지 2층,37.4725999,126.7951813
179,경희대 석사 올림픽 태권도장,경기도 부천시 소사본동 409-6 504호,37.47252504,126.8033941
180,도움태권도장,경기도 부천시 도당동 43-2번지 지하1층,37.519401,126.7870995
181,이옥성.김정주 복싱다이어트클럽,"경기도 부천시 상동 538-7 다승프라자 203,204호",37.50615623,126.7563768
182,미리내 천마 태권도,경기도 부천시 중동 1179번지 한신한양금호상가 201호,37.4998147,126.7734044
183,세종태권도,경기도 부천시 내동 31번지,37.5182557,126.7722395
184,라온태권도장,"경기도 부천시 원미동 94-1 순복음성광교회 2,3층 ",37.49414955,126.7914511
185,SN boxing GYM,경기도 부천시 송내동 329-11번지,37.4832653,126.7564392
186,신동아체육관,경기도 부천시 소사본동 180-4번지,37.4750133,126.7944624
187,상욱미션태권도,경기도 부천시 원종동 138-30번지 부일빌딩  3층,37.5259226,126.8015157
188,경찰대태권도,경기도 부천시 상동 536-2번지 503반,37.5071741,126.7547433
189,한울태권도장,경기도 부천시 송내동 372 중동역푸르지오아파트 ,37.48496235,126.7645046
190,원미꿈나무태권도,"경기도 부천시 원미동 151-1번지 두산아파트 단지상가 209,210호",37.4951768,126.7940219
191,금메달스포츠클럽,경기도 부천시 역곡동 66-16번지 3층 302호 ,37.4896798,126.8093246
192,통일체육관,경기도 부천시 원미동 58-1번지,37.4964038,126.7898797
193,국제태권도체육관,경기도 부천시 도당동 263-29번지 2층,37.5073686,126.7848269
194,연세대 꿈나무태권도,경기도 부천시 원종동 375-8번지 501호,37.5185936,126.8045217
195,한국체대 상일태권스쿨,경기도 부천시 상동 235 ,37.49283014,126.7629003
196,경원대태권도장,경기도 부천시 심곡본동 678-15번지,37.4812071,126.7817373
197,쿠바복싱다이어트 클럽 2관,경기도 부천시 심곡동 163-3번지,37.487537,126.7843758
198,고리울태권도장,경기도 부천시 춘의동 221-28번지 3층,37.4992598,126.7849071
199,하나 태권도장,"경기도 부천시 심곡동 334-40번지 2층,지층 ",37.48984196,126.774023
200,동양태권도장,경기도 부천시 심곡본동 703-12번지,37.4772641,126.7787417
201,용인대 고강 태권도장,경기도 부천시 고강동 358-5번지 상구빌딩 ,37.5295333,126.8224355
202,극동태권도체육관,경기도 부천시 상동 399번지,37.4900638,126.7502431
203,경희대위너태권도장,경기도 부천시 원종동 209-5 210호,37.52506736,126.8023173
204,한일태권도장,경기도 부천시 괴안동 199번지 3층,37.4881281,126.8194031
205,부천검도관,경기도 부천시 심곡동 368-19번지,37.4916778,126.7823849
206,역곡유도회관,경기도 부천시 역곡동 110-14번지,37.4869553,126.8127124
207,용인대타이곤태권도장,경기도 부천시 원미동 147-2번지,37.4916499,126.7867723
208,덕산태권도,경기도 부천시 오정동 573-6번지,37.5267052,126.7855512
209,역곡태권도,경기도 부천시 역곡동 34번지 3층,37.4860147,126.8050488
210,경희대금메달태권도체육관,경기도 부천시 심곡본동 566-1번지 부천아파트 상가동 202호,37.4769266,126.7813542
211,열린태권도체육관,경기도 부천시 중동 770-5번지,37.4928726,126.7665506
212,역곡트라이스톤,경기도 부천시 역곡동 82-7번지 3층,37.4862881,126.8124314
213,대일경희대태권도,경기도 부천시 상동 392번지 한아름상가 301호,37.495009,126.749661
214,태권도백호체육관,경기도 부천시 고강동 310-3번지,37.5279513,126.8132984
215,팰리스 태권도장,경기도 부천시 중동 1288번지 팰리스카운티 ,37.49045576,126.7654615
216,경희석사 백호태권도,경기도 부천시 여월동 334번지 여월프라자 5층 501호,37.5116769,126.8062705
217,부천명문태권도,경기도 부천시 삼정동 296-13번지,37.5185121,126.7697388
218,태양체육관,경기도 부천시 괴안동 169-3번지 2층,37.4858142,126.8147391
219,화랑태권도장,경기도 부천시 중동 749-16번지,37.4940085,126.7668863
220,BEAT복싱 역곡관,경기도 부천시 괴안동 167-16번지 ,37.48437544,126.8164614
221,K-가온태권도장,경기도 부천시 괴안동 70-14번지 2층 ,37.47929417,126.8064529
222,부천풍산복싱체육관,경기도 부천시 심곡본동 532-11번지 ,37.48401586,126.775748
223,설악태권도아카데미,경기도 부천시 중동 1051-1번지,37.5086736,126.7699051
