,이름,도로명주소,위도,경도
64,상도중학교,경기도 부천시 장말로 159,37.49438248,126.7603397
65,석천중학교,경기도 부천시 계남로 71,37.50988333,126.7570979
66,상일중학교,경기도 부천시 조마루로 69,37.50151985,126.7515467
67,부인중학교,경기도 부천시 상일로 62,37.49056825,126.7486696
68,역곡중학교,경기도 부천시 역곡로58번길 27,37.49134145,126.8104251
69,원미중학교,경기도 부천시 원미로182번길 15,37.49925136,126.7944913
70,부천중학교,경기도 부천시 심중로75번길 64,37.49042454,126.7688626
71,중흥중학교,경기도 부천시 신흥로 245,37.50648414,126.7743179
72,부천부흥중학교,경기도 부천시 계남로 268,37.50542637,126.7782088
73,계남중학교,경기도 부천시 조마루로 274,37.49742106,126.7735798
74,부천부곡중학교,경기도 부천시 부흥로 284,37.49463268,126.7745231
75,수주중학교,경기도 부천시 역곡로 524,37.53131738,126.8168254
76,내동중학교,경기도 부천시 삼작로108번길 53,37.51829974,126.7741469
77,덕산중학교,경기도 부천시 성오로 203,37.5289185,126.7936235
78,성곡중학교,경기도 부천시 삼작로496번길 10-25,37.51781904,126.81593
79,성주중학교,경기도 부천시 성주로 24,37.48028272,126.7599132
80,부일중학교,경기도 부천시 소사로 86,37.46622103,126.7997435
81,부천남중학교,경기도 부천시 성주로 148,37.47907813,126.7720382
82,부천여자고등학교,경기도 부천시 석천로16번길 37,37.48930256,126.7623694
83,부명고등학교,경기도 부천시 석천로 127,37.4990836,126.7611532
84,상동고등학교,경기도 부천시 원미구 상이로 22,37.49063537,126.7450605
85,도당고등학교,경기도 부천시 삼작로256번길 53-3,37.51886838,126.790595
86,중원고등학교,경기도 부천시 도약로 111,37.51156489,126.7622182
87,심원고등학교,경기도 부천시 계남로 284,37.50474781,126.7792676
88,중흥고등학교,경기도 부천시 계남로 171,37.50860327,126.7686288
89,원미고등학교,경기도 부천시 옥산로 48,37.4982071,126.7827357
90,계남고등학교,경기도 부천시 부흥로 261,37.49621596,126.7710913
91,수주고등학교,경기도 부천시 오정구 역곡로 531,37.531883,126.8148848
92,덕산고등학교,경기도 부천시 오정구 오정로266번길 69,37.53079674,126.7896898
93,범박고등학교,경기도 부천시 범박로 27-1,37.46774288,126.8117728
94,소사고등학교,경기도 부천시 소사로78번길 22,37.46492603,126.8002419
95,소명여자고등학교,경기도 부천시 원미구 부일로 571번길,37.48802742,126.7911243
96,시온고등학교,경기도 부천시 은성로 172-20,37.4714986,126.8051113
97,정명고등학교,경기도 부천시 심곡로 100,37.47501926,126.7730502
98,옥길중학교,경기도 부천시 양지로 234-41(옥길동),37.46386441,126.8269608
99,부천공업고등학교,경기도 부천시 경인로120번길,37.48203763,126.7667049
100,부천정보산업고등학교,경기도 부천시 신상로 94,37.49692428,126.7489114
101,정명정보고등학교,경기도 부천시 소사구 심곡로 100,37.47501926,126.7730502
102,옥길버들초등학교,경기도 부천시 양지로 234-5,37.46427346,126.8259847
103,소사중학교,경기도 부천시 소사로102번길 80,37.47002089,126.8021395
104,경기국제통상고등학교,경기도 부천시 석천로 141,37.50037499,126.7615477
105,옥길산들초등학교,경기도 부천시 옥길로 31,37.46250622,126.8164682
106,중원중학교,경기도 부천시 원미구 도약로 119,37.51193851,126.7628708
107,상동중학교,경기도 부천시 부흥로 19,37.4980444,126.7450538
108,부천여자중학교,경기도 부천시 소사구 성주로23번길 22,37.48137689,126.7604793
109,심원중학교,경기도 부천시 원미구 계남로 352,37.4998659,126.7827877
110,부천여월중학교,경기도 부천시 성곡로57번길 25,37.51725851,126.7972187
111,까치울중학교,경기도 부천시 소사로 647,37.51532687,126.8013104
112,부천일신중학교,경기도 부천시 범안로96번길 44,37.47317133,126.8060005
113,소명여자중학교,경기도 부천시 부일로571번길 84,37.48782121,126.7913072
114,도당중학교,경기도 부천시 부천로366번길 19,37.51689848,126.7867776
115,동산초등학교,경기도 부천시 오정로251번길 50,37.53145475,126.7852129
116,소안초등학교,경기도 부천시 소사동로72번길 29,37.47239491,126.8042548
117,상도초등학교,경기도 부천시 장말로 149,37.49447454,126.7592076
118,상일고등학교,경기도 부천시 부흥로 13,37.49816175,126.7436724
119,상원고등학교,경기도 부천시 상동로 10,37.49831656,126.7524158
120,부천고등학교,경기도 부천시 경인로92번길 70,37.47991699,126.7663071
121,부천북고등학교,경기도 부천시 삼작로256번길 40,37.51848959,126.7890596
122,역곡고등학교,경기도 부천시 안곡로 322,37.49173314,126.8095844
123,원종고등학교,경기도 부천시 소사로807번길 68,37.52849973,126.8004972
124,송내고등학교,경기도 부천시 서촌로20번길 13,37.48674346,126.7453598
