,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
2677,202011,7호선,춘의,4,0,4317,1314,9035,6119,22840,26572,24526,51115,12941,16850,8588,7343,7957,5848,8250,6802,8502,7502,8076,6435,8457,7783,11616,8571,26654,11829,40664,19607,15583,17595,10463,10991,8267,9276,4177,7469,1187,4965,1,85,0,0,0,0,0,0,20201203
2854,202011,경인선,소사,1114,41,17082,3127,15872,5690,34809,7333,32658,12190,19873,9119,14844,8962,13214,9645,13826,11573,13103,11453,11882,11814,12020,12000,12612,16155,14481,22442,12617,29795,7288,27195,5607,15072,4622,15585,3448,12288,1340,8237,112,1640,0,0,0,0,0,0,20201203
2856,202011,경인선,역곡,905,21,25904,3900,42863,10659,117548,12622,114686,29987,57524,26701,35975,21805,32711,24064,35851,27101,32997,28714,29670,30193,30673,33146,34484,46465,37216,64561,35163,107880,21576,93531,17783,51827,15362,47171,12870,39031,5355,23023,370,3170,2,1,0,0,0,0,20201203
2862,202011,경인선,중동,820,4,10036,1420,15602,4446,41022,5810,32634,12247,16565,8065,12014,7107,11178,7053,12077,8850,11571,9175,9628,10250,9830,11396,11268,13777,12034,19513,12731,29577,6603,27697,5222,15810,4351,13392,3047,11377,1111,7080,150,2478,0,0,1,0,0,0,20201203
3241,202010,7호선,까치울,0,0,3853,815,9513,4050,27398,5476,35898,9459,16610,5143,9745,4862,8668,6741,9243,7693,9528,7518,8975,7818,9203,7626,10582,11498,11125,17243,10153,27216,6312,23177,4849,15067,3802,11736,2580,10699,907,6312,2,21,0,4,0,0,0,0,20201103
3261,202010,7호선,상동,8,1,4004,1682,14146,4979,35051,10596,32697,25458,16209,25086,12036,13380,13279,14253,14826,15722,14920,17460,15318,17524,17196,16961,19870,18660,22568,25623,28134,38491,16634,35308,13960,18383,15607,13990,14060,12001,4984,8861,34,1475,3,2,0,0,0,0,20201103
3266,202010,7호선,신중동,0,0,5160,1937,14432,5163,40886,13711,40080,39980,20256,23228,15002,13199,14622,11584,15541,13645,15660,14907,15288,14002,16360,15983,18560,18004,24377,24707,38030,40897,17044,39253,17771,19127,10995,16303,9381,14338,4045,11478,14,498,0,7,0,0,0,0,20201103
3280,202010,7호선,춘의,0,0,4376,1303,8434,5744,21586,24980,23318,44982,12611,15864,8806,7504,8290,5899,8568,6501,8920,7498,8304,6542,8473,7845,10830,8787,24222,11994,37379,18244,14920,17018,10022,10492,7820,9433,4289,7636,1303,5576,2,105,0,2,0,0,0,0,20201103
3459,202010,경인선,소사,1186,39,16807,2966,15450,5712,33364,7059,30973,11741,20315,8850,15698,9007,14076,9716,14614,11527,13238,11465,12418,12121,11916,12418,12620,16429,14565,21576,13119,29334,7345,26577,5827,15079,4726,14854,3248,12566,1405,8648,116,1831,0,2,0,0,0,0,20201103
3461,202010,경인선,역곡,975,23,25606,4016,40825,10476,109411,12745,108083,29221,56058,27960,37480,22532,35042,25132,37485,27692,35273,28102,31645,31007,32886,32817,35083,45995,37966,62921,35258,102701,22588,90697,18138,51043,15398,44604,13409,40499,5879,25102,368,3363,0,4,0,0,0,0,20201103
3467,202010,경인선,중동,832,7,9813,1455,15138,4851,38395,5864,30625,11850,16733,7636,12763,7269,11968,7129,12469,9286,11654,9138,10195,10447,10160,11202,11425,14027,12409,19063,12563,28242,6768,26728,5348,15574,4458,12806,3121,11572,1333,7273,164,2608,0,6,0,0,0,0,20201103
3846,202009,7호선,까치울,0,0,3903,922,9078,3860,26204,5364,33943,8330,14973,4318,7610,3877,6573,4870,7230,5592,7332,5831,6586,6223,6721,6663,7814,9884,8833,15313,8995,25438,5260,22660,4140,13202,3386,11099,2154,8351,672,4201,1,16,0,0,0,0,0,0,20201003
3866,202009,7호선,상동,3,0,3654,1689,13046,4690,33099,9357,30527,24276,13952,24138,9964,11144,10616,10938,11470,11991,11165,13456,11951,14203,13622,13569,16549,15303,19024,21471,25003,33857,14058,31319,11837,16072,12538,11996,10415,9598,3566,6008,16,764,0,0,0,0,0,0,20201003
3871,202009,7호선,신중동,4,0,4774,1662,13887,5386,38458,13884,36616,39428,17766,22737,12097,12252,11930,9752,12529,11335,12452,12681,13000,11281,13911,13712,15874,15506,21928,21241,36552,37202,15754,33708,16908,16266,9637,13622,6802,11322,2641,8282,0,243,0,0,0,0,0,0,20201003
3885,202009,7호선,춘의,0,0,4452,1473,8442,5728,20647,25769,21557,47510,11332,15546,7463,6733,6665,5110,7196,5816,7302,6589,7351,5669,7932,6847,10149,7566,24166,10290,37096,18172,13988,15719,9338,9812,7534,8770,3822,6172,989,4151,0,12,0,0,0,0,0,0,20201003
4062,202009,경인선,소사,1328,37,15789,2782,15485,5071,31300,7059,28183,10509,17007,7390,12623,7294,10783,7496,10828,8497,9920,9055,9171,9732,9229,10314,9548,13379,11726,18422,11016,28005,6500,24837,4750,13827,4067,14050,2770,9725,1100,6344,94,1174,0,0,0,0,0,0,20201003
4064,202009,경인선,역곡,1125,11,24465,3807,39686,9777,104929,12287,98356,24600,49094,20080,29900,17717,26583,18794,27501,20632,26297,22258,23676,24269,23434,27555,25266,39177,28822,55028,28255,98130,18586,83522,15523,45444,12888,40606,9711,29877,3935,17271,233,2230,0,0,0,0,0,0,20201003
