Month,Day,강수,강수형태,기온,풍속,풍향
4,3,0.0,0.0,6.508333333333333,0.8416666666666667,207.58333333333334
4,30,0.0,0.0,14.429166749999995,0.39166666666666666,160.0
4,4,0.0,0.0,9.445833333333335,1.2333333333333332,215.66666666666666
4,5,0.0,0.0,9.183333333333335,0.5875000000000001,177.16666666666666
4,6,0.0,0.0,9.125000000000002,0.5416666666666666,50.166666666666664
4,7,0.0,0.0,11.595833458333333,0.9874999999999997,194.95833333333334
4,8,0.0,0.0,10.254166708333335,0.8791666666666668,151.25
4,9,0.75,0.5,7.991666666666668,1.1291666666666667,76.79166666666667
5,1,0.0,0.0,13.804166750000002,0.5208333333333334,163.25
5,10,0.0,0.0,16.629166666666666,0.3583333333333332,181.16666666666666
5,11,-0.08333333333333333,-0.08333333333333333,12.2083335,0.20416666666666672,116.625
5,12,-0.041666666666666664,-0.08333333333333333,13.616666708333334,0.125,99.58333333333333
5,13,0.0,0.0,16.145833333333332,0.30416666666666664,134.83333333333334
5,14,0.0,0.0,18.433333458333333,0.23749999999999993,140.0
5,15,0.0,0.0,19.78333329166667,0.27083333333333326,150.54166666666666
5,16,0.0,0.0,21.52916666666667,0.4291666666666667,157.91666666666666
5,17,0.0,0.0,21.537500041666664,0.5583333333333332,125.04166666666667
5,18,0.14583333333333334,0.20833333333333334,21.141666583333336,0.7791666666666669,115.25
5,19,0.6458333333333334,0.5,18.074999958333336,0.33749999999999997,160.5
5,2,0.0,0.0,14.362500041666669,0.5458333333333334,139.70833333333334
5,20,0.0,0.0,14.70000004166666,0.7416666666666668,239.375
5,21,0.0,0.0,16.508333416666662,0.8000000000000004,194.91666666666666
5,22,0.0,0.0,18.79583354166667,0.4708333333333334,140.29166666666666
5,23,0.0,0.0,20.495833291666667,0.2541666666666667,102.70833333333333
5,24,0.0,0.0,23.033333458333335,0.2791666666666666,140.54166666666666
5,25,0.0,0.0,21.899999958333336,0.3083333333333333,152.0
5,26,0.16666666666666666,0.16666666666666666,23.1666665,0.5791666666666666,166.5
5,27,0.125,0.16666666666666666,15.520833333333334,0.7041666666666667,203.45833333333334
5,28,0.0,0.0,17.63333341666667,0.5833333333333334,206.66666666666666
5,29,0.0,0.0,18.88333329166667,0.43749999999999994,191.33333333333334
5,3,0.0,0.0,15.97916670833333,0.2749999999999999,146.5
5,30,0.0,0.0,19.216666458333332,0.5041666666666665,176.125
5,31,0.0,0.0,17.60416679166666,0.4541666666666666,182.45833333333334
5,4,0.0,0.0,17.52916670833333,0.19583333333333333,130.625
5,5,0.0,0.0,17.22083333333333,1.0166666666666666,236.58333333333334
5,6,0.0,0.0,11.949999958333335,0.8250000000000001,170.70833333333334
