,정류소id,val,정류소명,위도,경도
33,210000041.0,218.0,은하마을.덕유마을,37.5079333,126.7652667
34,210000042.0,304.0,중4동행정복지센터.고용노동지청,37.5068333,126.7638167
35,210000043.0,798.0,부천시청역2번출구.현대백화점.이마트,37.5032833,126.7630667
36,210000044.0,875.0,경기국제통상고.포도마을뉴서울.중앙공원,37.5010167,126.7626
37,210000045.0,740.0,순천향대학병원.부명고,37.4973667,126.76185
38,210000046.0,541.0,상동주민센터.삼광교회,37.4946333,126.7613167
39,210000047.0,360.0,상도중학교,37.4934,126.7595167
40,210000048.0,360.0,꿈동산.사랑마을,37.4937,126.7574667
41,210000049.0,889.0,법원.검찰청.복사골문화센터.반달마을,37.49345,126.7554
42,210000050.0,777.0,송내역.투나,37.4885667,126.7552
43,210000051.0,282.0,중동시장앞.넘말,37.4962,126.76525
44,210000052.0,295.0,그린타운상가.무지개마을,37.4971667,126.76765
45,210000053.0,218.0,중앙공원.미리내마을,37.4998333,126.7682333
46,210000054.0,117.0,부천시청,37.50225,126.7687
47,210000055.0,267.0,은하마을.중흥마을,37.5056667,126.7691833
48,210000056.0,92.0,덕유마을3단지,37.51035,126.7684167
49,210000057.0,359.0,약대동주민센터.약대초등학교,37.5130167,126.7701667
50,210000058.0,359.0,트레지움1단지.다니엘병원,37.5111,126.7700167
51,210000059.0,267.0,설악마을.덕유마을,37.5095667,126.76985
52,210000060.0,135.0,포도마을.보람마을,37.4995833,126.7593
53,210000061.0,548.0,사랑마을벽산.선경.삼익아파트,37.4961667,126.7561333
54,210000062.0,777.0,복사골문화센터.한아름마을,37.4950333,126.75515
55,210000063.0,135.0,포도마을.보람마을,37.4998333,126.7592167
56,210000064.0,267.0,덕유마을.설악마을,37.5086333,126.7694333
57,210000065.0,359.0,트레지움1단지.다니엘병원,37.51105,126.7696833
58,210000066.0,359.0,약대동주민센터.약대초등학교,37.5139667,126.7699667
59,210000067.0,322.0,부천체육관.부천초교사거리,37.5152,126.7637333
60,210000068.0,81.0,중원초교,37.5118,126.76485
61,210000069.0,173.0,한라마을.덕유마을,37.5095667,126.7643667
62,210000070.0,321.0,복사골문화센터.반달마을,37.4940333,126.7528667
63,210000071.0,321.0,한아름마을.반달마을,37.4940667,126.7499333
64,210000072.0,228.0,목련마을,37.4934,126.7481667
65,210000073.0,81.0,부인중학교,37.4917333,126.7501833
66,210000076.0,101.0,송내초교.법원입구,37.4897333,126.7602667
67,210000077.0,476.0,춘의가구거리,37.5043833,126.7904167
68,210000078.0,653.0,당아래지하차도,37.5051333,126.79415
69,210000079.0,653.0,당아래지하차도,37.5046833,126.7938333
70,210000080.0,476.0,춘의가구거리,37.5039333,126.7894833
71,210000081.0,101.0,송내초등학교,37.4903833,126.7600167
72,210000083.0,72.0,상1동주민센터,37.4914667,126.7522333
73,210000084.0,153.0,부인중학교,37.4915,126.7500667
74,210000085.0,393.0,한아름마을.반달마을,37.4942667,126.7491667
75,210000086.0,393.0,복사골문화센터,37.4942333,126.75395
76,210000087.0,173.0,한라마을.덕유마을,37.5094,126.764
77,210000088.0,81.0,중원초교,37.5122833,126.7646167
78,210000089.0,81.0,부천체육관,37.51425,126.7641667
79,210000090.0,194.0,석왕사.다문화가족지원센터,37.4909,126.794
80,210000091.0,194.0,풍림아파트.산림욕장삼거리,37.4925333,126.7948
81,210000092.0,194.0,원미두산아파트후문,37.4950833,126.7954167
82,210000093.0,194.0,시립도서관.중앙레포츠공원.현충원,37.4978833,126.7962667
83,210000094.0,194.0,종합운동장,37.5012,126.7968833
84,210000095.0,235.0,종합운동장,37.50285,126.7974167
85,210000096.0,194.0,시립도서관.중앙레포츠공원.현충원,37.4979667,126.7966667
86,210000097.0,194.0,석왕사.다문화가족지원센터,37.49075,126.7942333
87,210000098.0,194.0,소사동주민센터.부천성모병원후문입구,37.4853333,126.79435
88,210000099.0,674.0,팰리스카운티.부천서초교입구,37.48835,126.7670333
89,210000100.0,674.0,시민운동장.시민회관,37.4876167,126.7719333
90,210000101.0,612.0,KT부천지사,37.4869667,126.7762
91,210000102.0,347.0,송내고교입구,37.4889167,126.7446667
92,210000103.0,178.0,미리내마을,37.5011333,126.7708667
93,210000105.0,375.0,신중동역5번출구.중흥중학교,37.5052667,126.7753833
94,210000107.0,502.0,신중동역7번출구.심원고교.삼환아파트.중3동주민센터,37.5028667,126.77895
95,210000108.0,193.0,꿈마을,37.5014333,126.7806667
96,210000109.0,193.0,심원초등학교,37.4996833,126.78115
97,210000110.0,190.0,원미고등학교,37.4974333,126.7817167
98,210000111.0,190.0,부천보건소.건영아파트,37.4953,126.7810667
99,210000112.0,267.0,대성병원.심곡천사거리,37.4912167,126.7833333
100,210000113.0,267.0,심곡천종점.부천보건소,37.4932,126.7807
101,210000114.0,91.0,부천소방서,37.4943667,126.7774667
102,210000115.0,77.0,부곡중학교,37.4947667,126.77385
103,210000116.0,77.0,계남고교,37.4953167,126.76965
104,210000117.0,77.0,그린타운.미리내마을,37.4983667,126.7698667
105,210000118.0,77.0,계남중학교,37.4978,126.7745
106,210000119.0,77.0,한양아파트,37.4995667,126.7749
107,210000120.0,77.0,부천시청.중앙공원,37.5013667,126.7658667
108,210000121.0,182.0,상2동행정복지센터,37.5002167,126.7541833
109,210000122.0,468.0,진달래대우.라일락신성아파트,37.5105167,126.7539667
110,210000123.0,537.0,진달래대우.라일락신성아파트,37.5105167,126.75425
111,210000124.0,182.0,상2동행정복지센터,37.5002167,126.75465
112,210000125.0,77.0,부천시청.중앙공원,37.5017167,126.76645
113,210000126.0,77.0,한양아파트,37.4994,126.7752333
114,210000127.0,77.0,계남중학교,37.49775,126.7731
115,210000128.0,77.0,그린타운.미리내마을,37.4981333,126.77035
116,210000129.0,166.0,계남고교,37.4955833,126.7701333
117,210000130.0,166.0,부곡중학교,37.4951833,126.7730833
118,210000131.0,180.0,부천소방서,37.4946833,126.77715
119,210000132.0,267.0,심곡천종점.부천보건소,37.4927667,126.7819667
120,210000133.0,267.0,대성병원.심곡천사거리,37.49145,126.7836667
121,210000134.0,144.0,춘의동차고지,37.5017167,126.79435
122,210000135.0,321.0,춘의아파트,37.5009,126.7935833
123,210000136.0,427.0,조마루삼거리,37.4965333,126.7919833
124,210000137.0,427.0,원미두산아파트,37.4951333,126.79165
125,210000138.0,427.0,축협원미지점,37.4941333,126.7913833
126,210000139.0,427.0,원미풍림아파트.사우촌,37.49025,126.7904167
127,210000140.0,209.0,소명여고사거리,37.48615,126.7894167
128,210000141.0,103.0,꿈마을.연화마을,37.4981667,126.7798
129,210000142.0,87.0,금강주공아파트,37.5082167,126.763
130,210000143.0,87.0,금강마을상가.한라마을,37.5086,126.7601333
