,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
257011,점프셈교실,학문/교육,학원-음악미술무용,피아노/바이올린/기타,126.779094228677,37.5021484305146,경기도 부천시 옥산로 83
257012,점프셈교실,학문/교육,학원-음악미술무용,피아노/바이올린/기타,126.767419397487,37.4878989512489,경기도 부천시 부일로 336
257013,점프셈교실,학문/교육,학원-음악미술무용,피아노/바이올린/기타,126.783335780792,37.4881810795782,경기도 부천시 부천로 43
257036,상동공인중개사사무소,부동산,부동산중개,부동산중개,126.747546488219,37.497718436451,경기도 부천시 부흥로 49
257092,논곡리토종순대국,음식,별식/퓨전요리,순대전문점,126.784460583553,37.5178457319042,경기도 부천시 부천로 379
257100,비압헤어,생활서비스,이/미용/건강,여성미용실,126.805226854464,37.4803942603243,경기도 부천시 범안로8번길 11
257101,사랑만들기,소매,의복의류,셔츠/내의/속옷,126.776754598898,37.4854190164796,경기도 부천시 신흥로 20
257112,메주언니가꿈꾸는밥상,음식,한식,갈비/삼겹살,126.78600778371,37.5256826099824,경기도 부천시 상오정로19번길 36
257151,이민정헤어샵,생활서비스,이/미용/건강,여성미용실,126.752393710941,37.5122493194174,경기도 부천시 도약로 28
257169,시즌아이피씨방,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,126.813029252511,37.4839058725577,경기도 부천시 부광로 9
257195,더페이스샵,소매,화장품소매,화장품판매점,126.763930504863,37.5040540893012,경기도 부천시 석천로 188
257286,CU,소매,종합소매점,편의점,126.747546488219,37.497718436451,경기도 부천시 부흥로 49
257312,바디샵GS스퀘어,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,126.775299219556,37.5025326300427,경기도 부천시 길주로 300
257332,믿음공인중개사사무소,부동산,부동산중개,부동산중개,126.777559173262,37.499879966364,경기도 부천시 신흥로 178
257342,CU부천예술고점,소매,종합소매점,편의점,126.762314068901,37.5053706917131,경기도 부천시 길주로 177
257370,양설화에스테틱,생활서비스,이/미용/건강,비만/피부관리,126.762751508588,37.4857147010205,경기도 부천시 중동로71번길 39
257386,유니더스빨래방,생활서비스,세탁/가사서비스,세탁소/빨래방,126.788234623904,37.5188035688552,경기도 부천시 수도로206번길 32
257522,예뜰어린이집,학문/교육,유아교육,어린이집,126.80260134584,37.4762949765811,경기도 부천시 소안로 20
257525,제일손칼국수,음식,분식,국수/만두/칼국수,126.809194563364,37.5281532537694,경기도 부천시 성지로101번길 38
257565,잇츠스킨,소매,화장품소매,화장품판매점,126.75412001693,37.5063838048755,경기도 부천시 길주로 105
