,군집,인구밀도,위도,경도,부동산_5분이내수,부동산_5분이내거리최소,부동산_5분이내거리평균,부동산_5분이내거리최대
20,11_1,1821.166666666667,37.51061242732949,126.7517009812395,53,0.0004375489632011907,0.0024935536223572863,0.003938253854207643
21,12_0,567.5,37.481189503675274,126.79167522003269,25,0.0008673736021534864,0.002697064085945686,0.0039489416523831745
22,12_1,536.6666666666666,37.48394528376961,126.78778469271609,21,0.00021976400424192472,0.002458613932756989,0.004052774005800763
23,13_0,936.8181818181821,37.49396915363014,126.74807916363571,24,0.002540852814545658,0.00344888206016367,0.003834135615406504
24,13_1,640.0,37.490967949335925,126.75128428743315,56,0.0004511689792400802,0.0023970138233005652,0.00407940310986215
25,14_0,534.6,37.530507199398095,126.78651216008535,13,0.0009629381460012173,0.0025099713797798046,0.0036914079806763538
26,14_1,492.0,37.52610674908696,126.78545066074005,13,0.0003893715039701195,0.00224610224232689,0.003940743485541264
27,16_0,706.0,37.476640562780105,126.80080634313234,9,0.0002567876922399414,0.002179183941053167,0.004086099965381572
28,16_1,581.7777777777778,37.47361386577069,126.8018936729022,10,0.001593518489942119,0.002723484051125869,0.003726159319189354
29,17_0,542.5625,37.518726595549055,126.8042633298643,21,0.0003368226266517065,0.0022515457784530227,0.004029048715977201
30,17_1,584.6666666666666,37.510788254404225,126.8050677532283,5,0.0005461292791223114,0.0015364175063936653,0.0036712802290212554
31,19_0,659.1111111111112,37.50170148087935,126.76002364781294,35,0.0009872043481275697,0.0018756651877588773,0.0040205328266281854
32,19_1,654.7,37.499416552925545,126.75818579764044,33,0.0012151237261132,0.0030395222664112384,0.0039182708276057025
33,1_0,713.6,37.50791640493415,126.77710994784599,11,0.0006484631655402789,0.002361909654436621,0.00390157021451301
34,1_1,515.5,37.50474037344244,126.77363325980455,40,0.0006436015565084837,0.0029245977238668555,0.003919838106617848
35,20_0,1120.8333333333333,37.491925435552375,126.76621603617912,52,0.0004320581799671954,0.002230873088555291,0.004080953059424763
36,20_1,741.7777777777777,37.48933065946411,126.76768679380274,41,0.0007397320696981141,0.002835643810429845,0.004064255669654661
37,21_0,723.4285714285713,37.49540071738768,126.75231068965356,30,0.0015922044574679284,0.002564853594073595,0.0039061337461498806
38,21_1,634.5833333333334,37.496590571053964,126.7555175569384,37,0.001152847695428076,0.0025498012180527564,0.004029280760505323
39,23_0,656.6,37.4948574041188,126.79375208673086,7,0.0020913122903283995,0.0029131039403474295,0.0036408597591702256
40,23_1,610.0,37.50111181662796,126.79459825158243,2,0.0012829928780709406,0.002407856924105286,0.003532720970139632
41,24_0,483.1428571428572,37.489487207344105,126.77450818045065,9,0.0014920346017771406,0.00242029497056445,0.003820821553166229
42,24_1,720.6666666666665,37.485534702890355,126.77740111104994,37,0.0010107282476692694,0.0027867709851235587,0.00408070299338014
43,27_0,704.4,37.50495122633235,126.76401434403502,40,0.000684643925349153,0.0025942643926385534,0.004001329348761493
44,27_1,2012.0,37.508545102020214,126.76216872943785,21,0.000841702499536421,0.0025063587481649217,0.003274605826901422
45,28_0,1691.2857142857142,37.50721769623669,126.76819454300045,25,0.002121180512722242,0.002969791226787077,0.0040378987277636435
46,28_1,647.625,37.50867133633582,126.77161512436388,12,0.0014813428309140833,0.00264339370725275,0.004065277667810684
47,2_0,865.1,37.50040231639278,126.77175203960572,72,0.0002705091593554239,0.0018345845370319515,0.0037889750909448285
48,2_1,1634.0,37.503006288146,126.77014282926979,79,0.00034193834831153653,0.002295688759582354,0.003885313690774657
49,31_0,766.3333333333335,37.47034309533115,126.80770413943723,7,0.0003119857831744578,0.002038241158657783,0.0037103859762466543
50,31_1,691.1818181818181,37.473453099648154,126.81017717440292,15,0.000962713909863598,0.002461677631387843,0.004049788756048633
51,32_0,530.2857142857143,37.489053551888716,126.80957836007809,28,0.00017100182649487162,0.0027628280746025335,0.0037113581749415687
52,32_1,773.6,37.490286001697136,126.81336454523769,31,0.0006962489177699118,0.002219932215106453,0.0039370857472279105
53,33_0,690.6666666666665,37.49918355464218,126.77387564875679,73,0.0009129752997798382,0.002933653069270317,0.004060348619593373
