,gid,val,geometry,경도,위도
2602,다사388414,926.0,"MULTIPOLYGON (((126.8078976855164 37.46979340471245, 126.8078893752089 37.47069470999914, 126.8090201995973 37.47070132833289, 126.8090284963294 37.46980002283193, 126.8078976855164 37.46979340471245)))",126.80845893916877,37.47024736737093
2614,다사337461,1622.0,"MULTIPOLYGON (((126.7498032808819 37.51180219487516, 126.7497942593882 37.51270348220358, 126.7509257028122 37.51271066330438, 126.750934710703 37.51180937574354, 126.7498032808819 37.51180219487516)))",126.75036448845259,37.512256429934844
2620,다사358443,1171.0,"MULTIPOLYGON (((126.7737205689733 37.49572743514126, 126.7737118401455 37.49662872978922, 126.7748430471014 37.49663567926542, 126.7748517623367 37.49573438439252, 126.7737205689733 37.49572743514126)))",126.77428180464524,37.49618155804977
2622,다사345449,873.0,"MULTIPOLYGON (((126.7589616517318 37.50104385737342, 126.7589527438242 37.50194514822731, 126.7600840272444 37.50195223987879, 126.7600929215562 37.50105094879537, 126.7589616517318 37.50104385737342)))",126.75952283609534,37.50149804947156
2688,다사382412,891.0,"MULTIPOLYGON (((126.8011296108296 37.46795086035927, 126.8011212198176 37.46885216463182, 126.8022520148262 37.46885884745792, 126.8022603922641 37.467957542969, 126.8011296108296 37.46795086035927)))",126.80169080944023,37.46840485475629
2697,다사352458,5379.0,"MULTIPOLYGON (((126.7668012200386 37.50920489690034, 126.7667924037687 37.51010618809683, 126.7679238123398 37.51011320596334, 126.7679326150084 37.50921191453971, 126.7668012200386 37.50920489690034)))",126.76736251279496,37.50965905227816
2742,다사337458,1864.0,"MULTIPOLYGON (((126.7498303429522 37.50909833205154, 126.7498213226639 37.50999961979914, 126.7509527252811 37.51000680020275, 126.7509617319683 37.50910551222278, 126.7498303429522 37.50909833205154)))",126.75039153072258,37.50955256697215
2744,다사362428,1163.0,"MULTIPOLYGON (((126.7783754152739 37.48223571723244, 126.778366746609 37.48313701487144, 126.7794977512904 37.48314391767225, 126.7795064063719 37.4822426198098, 126.7783754152739 37.48223571723244)))",126.77893657989229,37.48268981829872
2757,다사352440,2795.0,"MULTIPOLYGON (((126.7669598457688 37.49298163148605, 126.7669510365641 37.49388292519588, 126.7680822004031 37.493889938975, 126.7680909960173 37.49298864503815, 126.7669598457688 37.49298163148605)))",126.76752101969444,37.49343578607635
2767,다사354445,1077.0,"MULTIPOLYGON (((126.7691782326274 37.49750211718259, 126.7691694486478 37.49840341064805, 126.7703006812314 37.4984104038997, 126.7703094516175 37.49750911020787, 126.7691782326274 37.49750211718259)))",126.76973945353711,37.49795626138728
2769,다사345431,1119.0,"MULTIPOLYGON (((126.7591219262419 37.48482059812164, 126.7591130254729 37.48572189148934, 126.7602440642614 37.48572897901015, 126.7602529514455 37.48482768541303, 126.7591219262419 37.48482059812164)))",126.75968299186161,37.48527478941086
2779,다사361448,975.0,"MULTIPOLYGON (((126.7770707061051 37.50025472561683, 126.7770620161195 37.50115602024066, 126.7781932922095 37.50116293834422, 126.7782019685995 37.50026164349647, 126.7770707061051 37.50025472561683)))",126.77763199576441,37.500708832827364
2788,다사361455,775.0,"MULTIPOLYGON (((126.7770098680774 37.50656378505249, 126.7770011753821 37.50746507869923, 126.7781325466574 37.50747199837033, 126.778141225753 37.50657070449962, 126.7770098680774 37.50656378505249)))",126.77757120397351,37.507017892558444
2789,다사358430,1038.0,"MULTIPOLYGON (((126.7738340083637 37.48401059201554, 126.7738252845884 37.48491188847808, 126.7749563148902 37.48491883503049, 126.774965025081 37.4840175383431, 126.7738340083637 37.48401059201554)))",126.77439515823687,37.48446471436909
2821,다사348432,1009.0,"MULTIPOLYGON (((126.7625061430253 37.48574312157274, 126.7624972826165 37.48664441548804, 126.7636283361762 37.48665147075814, 126.7636371829994 37.48575017661446, 126.7625061430253 37.48574312157274)))",126.76306723621049,37.48619729701068
2875,다사351465,1324.0,"MULTIPOLYGON (((126.7656080081025 37.51550690227601, 126.7655991754777 37.51640819226748, 126.7667306788826 37.51641522256234, 126.7667394979018 37.51551393234335, 126.7656080081025 37.51550690227601)))",126.76616934009724,37.5159610632656
2878,다사337441,4169.0,"MULTIPOLYGON (((126.7499836264003 37.49377641896603, 126.7499746129393 37.49467770908872, 126.7511057844202 37.49468488554259, 126.7511147842904 37.4937835951876, 126.7499836264003 37.49377641896603)))",126.75054470201881,37.494230653098825
2882,다사354451,872.0,"MULTIPOLYGON (((126.7691255228806 37.50290987588122, 126.7691167365533 37.503811168509, 126.7702480507108 37.50381816311884, 126.770256823441 37.50291687026469, 126.7691255228806 37.50290987588122)))",126.76968678340258,37.50336402034634
2888,다사403405,955.0,"MULTIPOLYGON (((126.824932830061 37.46177975789766, 126.824924726635 37.46268106761556, 126.8260554343435 37.46268752175387, 126.8260635241993 37.461786211827, 126.824932830061 37.46177975789766)))",126.82549412881536,37.46223364067511
