,gid,val,geometry,경도,위도
275,다사386413,827.0,"MULTIPOLYGON (((126.8056444020882 37.46887883101542, 126.8056360650014 37.46978013601192, 126.8067668750735 37.46978677577244, 126.8067751985857 37.46888547056097, 126.8056444020882 37.46887883101542)))",126.80620563519301,37.469332804242
277,다사382408,1239.0,"MULTIPOLYGON (((126.8011631711409 37.46434564187486, 126.8011547816235 37.4652469467051, 126.8022855223394 37.46525362866576, 126.8022938982851 37.46435232361917, 126.8011631711409 37.46434564187486)))",126.80172434335309,37.46479963611788
296,다사344458,860.0,"MULTIPOLYGON (((126.7577500744677 37.50914836570688, 126.7577411493874 37.51004965507379, 126.7588725548 37.51005675962707, 126.7588814662791 37.50915547003024, 126.7577500744677 37.50914836570688)))",126.75831131123974,37.50960256351261
300,다사369443,788.0,"MULTIPOLYGON (((126.7861637172204 37.49580328123348, 126.78615513791 37.4967045783365, 126.7872863491025 37.49671140867424, 126.7872949148203 37.49581011135015, 126.7861637172204 37.49580328123348)))",126.78672502976924,37.496257345801276
302,다사403409,1027.0,"MULTIPOLYGON (((126.8249004141914 37.46538499593338, 126.8248923093217 37.46628630509403, 126.826023071317 37.46629276006829, 126.8260311626142 37.46539145069866, 126.8249004141914 37.46538499593338)))",126.82546173936674,37.4658388788503
307,다사343460,2108.0,"MULTIPOLYGON (((126.7566008052927 37.51094382868163, 126.7565918658149 37.51184511753888, 126.7577232980342 37.51185223338852, 126.7577322239096 37.510950944301, 126.7566008052927 37.51094382868163)))",126.75716204826901,37.51139803188067
320,다사336451,1471.0,"MULTIPOLYGON (((126.7487621802986 37.50278212452861, 126.7487531492253 37.50368341302155, 126.7498844562459 37.50369060263186, 126.7498934737223 37.50278931390624, 126.7487621802986 37.50278212452861)))",126.74932331487929,37.50323636442496
323,다사377479,772.0,"MULTIPOLYGON (((126.7949081303676 37.52830429005124, 126.7948996462052 37.52920558389065, 126.7960313501751 37.52921233544284, 126.7960398207229 37.52831104138498, 126.7949081303676 37.52830429005124)))",126.79546973687353,37.52875831359617
395,다사349459,3789.0,"MULTIPOLYGON (((126.7633981804139 37.51008506948204, 126.7633893229454 37.51098635985542, 126.7645207439385 37.51099341045773, 126.7645295878051 37.51009211985617, 126.7633981804139 37.51008506948204)))",126.76395945878183,37.51053924081597
437,다사341447,824.0,"MULTIPOLYGON (((126.7544544997913 37.49921280307906, 126.7544455382991 37.50011409329071, 126.7555767929377 37.50012122781089, 126.7555857408354 37.49921993736832, 126.7544544997913 37.49921280307906)))",126.75501564297207,37.49966701629002
459,다사373437,1137.0,"MULTIPOLYGON (((126.7907396515731 37.49042274587614, 126.7907311289111 37.49132404469843, 126.7918622600791 37.49133083039476, 126.7918707691521 37.49042953135283, 126.7907396515731 37.49042274587614)))",126.79130095243474,37.49087678898304
522,다사337436,778.0,"MULTIPOLYGON (((126.7500286876842 37.48926996625708, 126.7500196762302 37.49017125707825, 126.7511507797632 37.49017843237073, 126.7511597776294 37.4892771413173, 126.7500286876842 37.48926996625708)))",126.75058973033303,37.4897242001583
525,다사387416,1164.0,"MULTIPOLYGON (((126.8067502269372 37.47158938577718, 126.8067419023129 37.47249069057045, 126.8078727534837 37.47249732015435, 126.8078810645314 37.47159601514644, 126.8067502269372 37.47158938577718)))",126.80731148682207,37.472043353814
534,다사367453,953.0000000000001,"MULTIPOLYGON (((126.78381524096 37.50480254882702, 126.7838066306303 37.50570384409134, 126.7849379770169 37.50571069830885, 126.784946573748 37.50480940282271, 126.78381524096 37.50480254882702)))",126.78437660559479,37.50525662441545
585,다사345430,811.0,"MULTIPOLYGON (((126.7591308266145 37.4839193046143, 126.7591219262419 37.48482059812164, 126.7602529514455 37.48482768541303, 126.7602618382338 37.48392639167626, 126.7591308266145 37.4839193046143)))",126.75969188564011,37.48437349585859
595,다사350430,891.0,"MULTIPOLYGON (((126.7647858886628 37.48395463166748, 126.7647770562119 37.48485592631845, 126.7659080833885 37.48486295947971, 126.765916902255 37.48396166460106, 126.7647858886628 37.48395463166748)))",126.76534698263566,37.48440879641897
606,다사401408,888.0,"MULTIPOLYGON (((126.8226470500822 37.46447074506512, 126.8226389184294 37.46537205394604, 126.8237696661296 37.46537853034918, 126.8237777842104 37.46447722125857, 126.8226470500822 37.46447074506512)))",126.82320835471855,37.4649246385564
644,다사353434,838.0,"MULTIPOLYGON (((126.7681437614768 37.48758087848518, 126.7681349682127 37.48848217325968, 126.7692660509096 37.48848917484926, 126.7692748305868 37.48758787984811, 126.7681437614768 37.48758087848518)))",126.76870490280258,37.48803502751296
